,name,run,best_validation_correlation,peak_epoch
static-0,static,0,0.396,8
laser-0,laser,0,0.5669242093975522,1
distil-0,distil,0,0.5567730938811664,1
paraphrase-0,paraphrase,0,0.5278964233383873,1
labse-0,labse,0,0.584412223253479,1
bert-cls-0,bert-cls,0,0.6309951671234113,5
bert-max-0,bert-max,0,0.628,8
bert-mean-0,bert-mean,0,0.6708727957899161,4
xlmr-0,xlmr,0,0.5847371100186711,14
static-1,static,1,0.357434521986243,5
laser-1,laser,1,0.5469540063579608,2
distil-1,distil,1,0.46927236716655935,2
paraphrase-1,paraphrase,1,0.5314994258004964,2
labse-1,labse,1,0.5170808482484536,2
bert-cls-1,bert-cls,1,0.6215349792141075,4
bert-max-1,bert-max,1,0.625,8
bert-mean-1,bert-mean,1,0.6221659312560768,2
xlmr-1,xlmr,1,0.4705862446237261,2
static-2,static,2,0.4121500432981505,14
laser-2,laser,2,0.5566132971176398,2
distil-2,distil,2,0.5354671672468031,2
paraphrase-2,paraphrase,2,0.6234741964071553,12
labse-2,labse,2,0.6026041400755227,4
bert-cls-2,bert-cls,2,0.6268409802588623,6
bert-max-2,bert-max,2,0.601,9
bert-mean-2,bert-mean,2,0.6137135821807277,1
xlmr-2,xlmr,2,0.5988787417631709,5
