,total_loss,avg_loss,correlation,p
labse_best_de,192980.15795898438,192.98015795898436,0.2433791337649532,5.9813836332263964e-15
bert-mean_last_ro,292618.181640625,292.618181640625,0.7646909669061821,1.13186824815349e-192
distil_last_ro,363108.1273803711,363.1081273803711,0.6715376963346276,4.324357433671479e-132
paraphrase_best_de,203724.3123779297,203.7243123779297,0.18345421039227486,5.1041740090994365e-09
distil_best_ru,445203.1259765625,445.2031259765625,0.6129804609720197,3.16036860666704e-104
distil_last_de,199856.81524658203,199.85681524658204,0.1685393890424839,8.257280779177953e-08
static_best_ru,565764.2551269531,565.7642551269531,0.45093790982806636,3.0222983564766537e-51
static_last_de,199648.24243164062,199.64824243164063,0.06603916558962708,0.0367969790558219
bert-mean_last_mixed,855177.6416015625,285.0592138671875,0.7122921355680674,0.0
bert-cls_best_ru,413203.4072265625,413.2034072265625,0.6346549813995572,7.719758006752286e-114
bert-mean_last_de,166222.40063476562,166.22240063476562,0.37359901774312676,1.7730110376180542e-34
bert-mean_best_ro,276322.1530761719,276.3221530761719,0.7738888637593049,3.421594261552388e-200
xlmr_best_ru,427250.52734375,427.25052734375,0.6185155498399688,1.3076205646228656e-106
xlmr_best_ro,329339.5847167969,329.3395847167969,0.7090856351323083,1.3155433192628356e-153
laser_last_ro,389188.626953125,389.188626953125,0.6573776833139933,8.875894088620897e-125
paraphrase_last_de,195006.28802490234,195.00628802490235,0.1973268594169281,3.0897856708888206e-10
labse_last_ru,397905.6650390625,397.9056650390625,0.6571993181445768,1.0909243250471451e-124
paraphrase_best_ru,426267.5625,426.2675625,0.6254144378256028,1.1980726109265484e-109
distil_best_de,192758.22717285156,192.75822717285158,0.18616358520217957,3.000468208056925e-09
labse_last_de,183017.40478515625,183.01740478515626,0.23709175106375072,3.03792695059154e-14
static_best_ro,489917.74755859375,489.91774755859376,0.5196311238338466,3.010315040717959e-70
xlmr_last_ro,343276.48291015625,343.27648291015623,0.7008496196871845,1.3408346844880622e-148
static_best_de,200894.2548828125,200.8942548828125,0.06732143242652366,0.0332837900912396
distil_best_mixed,1015374.6243286133,338.45820810953774,0.6423492288717785,0.0
distil_last_ru,432939.607421875,432.939607421875,0.615299569055979,3.213429004226454e-105
paraphrase_last_ro,371377.88397216797,371.377883972168,0.6679558876369414,3.3402021535113965e-130
labse_last_mixed,941203.5327148438,313.7345109049479,0.6779063472356718,0.0
labse_best_ro,361958.60369873047,361.9586036987305,0.6815075079217174,1.7318206345477712e-137
laser_last_ru,402350.6826171875,402.3506826171875,0.645753639858949,4.581780410757275e-119
static_last_ro,487497.08740234375,487.49708740234377,0.5200162030511645,2.287744815563289e-70
bert-cls_last_mixed,908033.6967773438,302.6778989257813,0.6893893115053039,0.0
static_last_ru,566678.1640625,566.6781640625,0.44820618101901855,1.4128114742396078e-50
paraphrase_best_mixed,1027779.61328125,342.5932044270833,0.636286008751014,0.0
bert-cls_last_de,170424.43951416016,170.42443951416016,0.32381107289549504,7.646813397383182e-26
static_best_mixed,1256576.2606201172,418.85875354003906,0.5267473731706915,7.463994160436136e-214
bert-cls_best_ro,320099.9020996094,320.0999020996094,0.7353581550404962,7.891684204419781e-171
bert-mean_best_ru,395665.525390625,395.665525390625,0.6572653739005818,1.0107081567787026e-124
labse_best_ru,393380.4323730469,393.38043237304686,0.6604070063865665,2.614331927364507e-126
bert-cls_best_mixed,903138.7917480469,301.0462639160156,0.6900111393788062,0.0
paraphrase_best_ro,397787.7243652344,397.7877243652344,0.6331701726350392,3.7208605373534237e-113
xlmr_last_de,200263.4180908203,200.26341809082032,0.1864860004160752,2.8151512793400725e-09
labse_best_mixed,948319.1866455078,316.1063955485026,0.6766226229257717,0.0
xlmr_last_ru,438005.8779296875,438.0058779296875,0.6136906541759928,1.5725137417859344e-104
bert-mean_last_ru,397924.267578125,397.924267578125,0.651321134495608,9.040822719702156e-122
laser_last_mixed,975352.1399536133,325.11737998453776,0.659222236594485,0.0
bert-mean_best_de,167136.31896972656,167.13631896972657,0.3704900920977342,6.82586697376923e-34
laser_best_mixed,945448.2520751953,315.1494173583984,0.6668854602815244,0.0
xlmr_best_mixed,957018.7637939453,319.00625459798175,0.6639229354951613,0.0
laser_last_de,183812.32708740234,183.81232708740234,0.2243315148938084,7.13750942384147e-13
bert-cls_best_de,169835.46240234375,169.83546240234375,0.3272134788202533,2.1983664481879317e-26
xlmr_last_mixed,981545.7744140625,327.1819248046875,0.6598830236225541,0.0
laser_best_de,180579.72033691406,180.57972033691405,0.20033088949780037,1.6372991738080716e-10
paraphrase_last_mixed,993979.1051025391,331.326368367513,0.6498720491114027,0.0
distil_best_ro,377413.26385498047,377.41326385498047,0.6618369755475808,4.881051773368874e-127
bert-mean_best_mixed,838211.0908813477,279.4036969604492,0.7190961038148451,0.0
labse_last_ro,360280.4777832031,360.28047778320314,0.6894764806912248,5.844493364435913e-142
static_last_mixed,1253823.4923095703,417.9411641031901,0.52558405944423,9.462259378074252e-213
