,embedder_name,run,best_validation_correlation,peak_epoch
static-0,static,0,0.4224302052517016,2
laser-0,laser,0,0.574275831084732,2
distil-0,distil,0,0.5118802279288872,3
paraphrase-0,paraphrase,0,0.5272532338827425,14
labse-0,labse,0,0.6289290676336643,1
bert-cls-0,bert-cls,0,0.6876045854966093,5
bert-mean-0,bert-mean,0,0.658216057834039,2
xlmr-0,xlmr,0,0.525790338008155,8
static-1,static,1,0.4504179056614841,4
laser-1,laser,1,0.5857015171461473,4
distil-1,distil,1,0.4900669721175974,6
paraphrase-1,paraphrase,1,0.5452189490584378,3
labse-1,labse,1,0.5714911120247699,1
bert-cls-1,bert-cls,1,0.5865332005169107,1
bert-mean-1,bert-mean,1,0.6146655100014895,3
xlmr-1,xlmr,1,0.5285079906179884,2
static-2,static,2,0.46990052390657583,2
laser-2,laser,2,0.6304004713532483,8
distil-2,distil,2,0.5298897699430485,5
paraphrase-2,paraphrase,2,0.580674601286052,9
labse-2,labse,2,0.6525179382829798,1
bert-cls-2,bert-cls,2,0.7088840200039468,7
bert-mean-2,bert-mean,2,0.7107582301809763,2
xlmr-2,xlmr,2,0.6269664001101313,4
