,embedder_name,run,best_validation_correlation,peak_epoch
static-0,static,0,0.4421552756676505,2
laser-0,laser,0,0.580488104400861,1
distil-0,distil,0,0.5542378453469405,1
paraphrase-0,paraphrase,0,0.5627873103675377,4
labse-0,labse,0,0.552245943850386,3
bert-cls-0,bert-cls,0,0.6592810235432782,4
bert-mean-0,bert-mean,0,0.6594838003080322,1
xlmr-0,xlmr,0,0.5034400835067112,3
static-1,static,1,0.4317319028669398,7
laser-1,laser,1,0.5842526970146569,4
distil-1,distil,1,0.48335013704359503,2
paraphrase-1,paraphrase,1,0.5219324965507206,7
labse-1,labse,1,0.56535154116626,2
bert-cls-1,bert-cls,1,0.6062650907819963,2
bert-mean-1,bert-mean,1,0.6196270758221826,2
xlmr-1,xlmr,1,0.5608797131619528,6
static-2,static,2,0.46632422442132854,11
laser-2,laser,2,0.6516649918368981,6
distil-2,distil,2,0.5424343545117074,1
paraphrase-2,paraphrase,2,0.6044494687562054,9
labse-2,labse,2,0.6673543456250196,11
bert-cls-2,bert-cls,2,0.7180750017669966,6
bert-mean-2,bert-mean,2,0.7095454380941648,2
xlmr-2,xlmr,2,0.6316946360833571,9
