,embedder_name,run,best_validation_correlation,peak_epoch
static-0,static,0,0.45511230244552525,1
laser-0,laser,0,0.5815587528358429,3
distil-0,distil,0,0.5094655862947958,1
paraphrase-0,paraphrase,0,0.5566364019394476,7
labse-0,labse,0,0.5952721974326369,14
bert-cls-0,bert-cls,0,0.6822938527793092,8
bert-mean-0,bert-mean,0,0.6779201327515143,4
xlmr-0,xlmr,0,0.5259979574897231,1
static-1,static,1,0.4203201473753913,1
laser-1,laser,1,0.5610151914011244,5
distil-1,distil,1,0.4960911977082957,1
paraphrase-1,paraphrase,1,0.5245777583182265,2
labse-1,labse,1,0.5907523683923355,1
bert-cls-1,bert-cls,1,0.6045342613021095,2
bert-mean-1,bert-mean,1,0.6143647769431093,2
xlmr-1,xlmr,1,0.5644631853736819,2
static-2,static,2,0.4883178114875279,10
laser-2,laser,2,0.6288823226344207,3
distil-2,distil,2,0.5404019906060766,1
paraphrase-2,paraphrase,2,0.6263302723678232,7
labse-2,labse,2,0.6161558737199544,14
bert-cls-2,bert-cls,2,0.7123889101670211,8
bert-mean-2,bert-mean,2,0.73926425433343,2
xlmr-2,xlmr,2,0.6435286156019803,3
