,embedder_name,run,best_validation_correlation,peak_epoch
static-0,static,0,0.43805599052748007,3
laser-0,laser,0,0.5765366365792439,2
distil-0,distil,0,0.5365604121157423,2
paraphrase-0,paraphrase,0,0.5732040059843906,1
labse-0,labse,0,0.6242153800553514,3
bert-cls-0,bert-cls,0,0.6565983036671423,3
bert-mean-0,bert-mean,0,0.677585341596882,4
xlmr-0,xlmr,0,0.49843483262333066,3
static-1,static,1,0.4164495449810119,3
laser-1,laser,1,0.5941269553514538,3
distil-1,distil,1,0.5111373754196826,7
paraphrase-1,paraphrase,1,0.5341198919381513,5
labse-1,labse,1,0.5668652231307632,5
bert-cls-1,bert-cls,1,0.6020058157627965,3
bert-mean-1,bert-mean,1,0.6148254329757492,1
xlmr-1,xlmr,1,0.5633852907000517,1
static-2,static,2,0.48252490590251884,6
laser-2,laser,2,0.612645796499107,3
distil-2,distil,2,0.5462385021977766,2
paraphrase-2,paraphrase,2,0.5855528268271059,6
labse-2,labse,2,0.6370922770365106,5
bert-cls-2,bert-cls,2,0.7045482940542851,12
bert-mean-2,bert-mean,2,0.7257342120991568,6
xlmr-2,xlmr,2,0.6159211447028121,7
