,embedder_name,run,best_validation_correlation,peak_epoch
static-0,static,0,0.4368073710901943,3
laser-0,laser,0,0.5594441993378451,1
distil-0,distil,0,0.5330789871765365,0
paraphrase-0,paraphrase,0,0.5389511201786517,2
labse-0,labse,0,0.6336067489944148,4
bert-cls-0,bert-cls,0,0.6669150656874466,4
bert-mean-0,bert-mean,0,0.6967964211963972,4
xlmr-0,xlmr,0,0.5199381211933203,2
static-1,static,1,0.39956761378813743,4
laser-1,laser,1,0.5922535526157926,3
distil-1,distil,1,0.5126725690569267,6
paraphrase-1,paraphrase,1,0.5252289049789267,7
labse-1,labse,1,0.5637933582217535,4
bert-cls-1,bert-cls,1,0.6055746162961153,2
bert-mean-1,bert-mean,1,0.6191685391313125,2
xlmr-1,xlmr,1,0.5586696855236419,1
static-2,static,2,0.5110915624018978,5
laser-2,laser,2,0.6184398106246336,3
distil-2,distil,2,0.5487397354654618,8
paraphrase-2,paraphrase,2,0.5761694542892849,2
labse-2,labse,2,0.6532637037636786,2
bert-cls-2,bert-cls,2,0.6821879782522111,6
bert-mean-2,bert-mean,2,0.7265177744778991,4
xlmr-2,xlmr,2,0.6260731307931549,6
