,embedder_name,run,best_validation_correlation,peak_epoch
static-0,static,0,0.4536970669078747,1
laser-0,laser,0,0.5703426141523263,1
distil-0,distil,0,0.5385386497644362,1
paraphrase-0,paraphrase,0,0.5229791820145029,2
labse-0,labse,0,0.5993409500015504,6
bert-cls-0,bert-cls,0,0.6523292419782778,6
bert-mean-0,bert-mean,0,0.6601103079055294,2
xlmr-0,xlmr,0,0.49947940773800537,6
static-1,static,1,0.39896339700308253,3
laser-1,laser,1,0.5749200519884112,4
distil-1,distil,1,0.491029998072941,14
paraphrase-1,paraphrase,1,0.4695450908656792,4
labse-1,labse,1,0.5707543210313207,4
bert-cls-1,bert-cls,1,0.5918149966286477,1
bert-mean-1,bert-mean,1,0.6190730624243492,2
xlmr-1,xlmr,1,0.5252798789866845,4
static-2,static,2,0.48992702255862575,4
laser-2,laser,2,0.6212210083889822,5
distil-2,distil,2,0.5449996743836225,13
paraphrase-2,paraphrase,2,0.5626471419696435,6
labse-2,labse,2,0.6341159474058564,3
bert-cls-2,bert-cls,2,0.6796608273787911,6
bert-mean-2,bert-mean,2,0.6939456102067538,5
xlmr-2,xlmr,2,0.6028227725776434,9
