,original,translation
615,"El analizează câteva zeci de astfel de perechi, scriind pentru fiecare termen câte o micromonografie.","It shall analyse several tens of such pairs, writing a micro-monograph for each time period.",  Lexical error
6120,"In față merge grăitorul, urmat de mire și nași, apoi muzicanții și tot alaiul de săteni.","The gardener goes in front of him, followed by thousands and births, then musicians and still sick.",   Lexical error, Grammatical error
825,Comuna Cașin este administrată de un primar și un consiliu local compus din 13 consilieri.,The municipality of Cashin is managed by a mayor and a local council composed of 13 advisers. ,   Good translation
3111,"Aleksandr Butlerov a fost unul dintre creatorii teoriei structurii chimice, joacă un rol central în chimia organică.","Aleksandr Butlerov was one of the theory builders of the chemical structure, plays a central role in organic chemistry.",   Good translation
5929,"Parisul nu avea primari, fiind condus de două autorități, în 1860 fiind înglobate multe dintre comunele suburbane în 20 de arondismente.","The parcel was not primary, being led by two authorities, with many suburban municipalities in 20 arondises embedded in 1860.", Lexical error
5653,"În comparație cu Europa de Vest, Slovenia nu este foarte vântoasă, deoarece este protejată de Alpi.","Compared to Western Europe, Slovenia is not very winner because it is protected from the Alps.", Lexical error
110,"Majoritatea luteranilor participă însă la biserică doar cu ocazii speciale, cum ar fi slujba de Crăciun, nunți și înmormântări.","However, the majority of the cervians participate in the church only on special occasions, such as Christmas mass, births and starvation." ,  Lexical error      
3292,"Tot aceste divizii urmau să deplaseze efective înarmate în insulele provinciei, care trebuiau aprovizionate cu vapoarele.","These divisions were also going to actually travel armed to the islands of the province, which had to be supplied by ships.",  Lexical error   Non-idiomatic phrasing
256,Un al doilea batalion a lărgit spărtura în frontul olandez în nord.,A second battalion widened the shooting on the Dutch front in the north.,    Lexical error
311,Mircea a intrat în conflict cu Imperiul Otoman din cauza intervențiilor sale în sprijinul popoarelor creștine din sudul Dunării.,Mircea has come into conflict with the Ottoman Empire because of its interventions in support of the Christian peoples of the southern Danube.,Grammatical error
810,Menora trebuia așezată în Sanctuar și se poate presupune că în Templu era un candelabru asemănător.,It was supposed to be placed in the sanction and it can be assumed that it was a similar candelabre in Temple.,  Lexical error Non-idiomatic phrasing
4082,"În Africa, grupuri de elefanți adolescenți au deteriorat casele din sate după sacrificări în anii 1970 și 1980.","In Africa, groups of adolescent elephants damaged homes in villages after sacrifices in the 1970s and 1980." ,   Good translation
316,Familiile care încalcă politica adesea mint la recensăminte.,Families who violate politics often lie at censuses. ,  Good translation
6152,"Până la sfârșitul lunii mai, Olanda și Luxemburgul fuseseră cucerite de germani.","By the end of May, the Netherlands and Luxembourg had been bound by the Germans." , Lexical error
802,Alexandru I a condus delegația Rusiei la Congresul de la Viena care a definit harta Europei postnapoleoniene.,Alexander I led the Russian delegation to the Vienna Congress which defined the map of post-napoleonic Europe., Good translation
698,"Pe plan extern, se face lobby la organizații evreiești de exemplu pentru a susține relațiile cu Israelul.","externally, it lobbies Jewish organisations for example to uphold relations with Israel.",  Good translation
495,"Condițiile ambientale, cum ar fi lumina, temperatura încăperii sau muzica, fac parte, de asemenea, din mediul de vânzări.","Ambient conditions, such as light, room temperature or music, are also part of the sales environment." ,Good translation
6014,Sârbii au avut însă o atitudine diferită de guvernul de la Belgrad.,"However, the wire ropes took a different stance from the government in Belgrade.", Lexical error
5699,Misiunile lor se desfășurau la altitudini de peste 10.000 m și de cele mai multe ori zborul lor rămânea nedetectat.,Their missions were deployed at altitudes above 10 000 m and most often their flight remained undetected.,  Good translation
1318,"T4 a fost în principal orientat căre adulți, dar au fost „eutanasiați” și copii.","This is because, as a result of the adoption of the second half of 2016, the first half of 2016 will be large." ,   Lexical error
5085,Mai degrabă sunt considerați „eroi” câțiva „hâtri ai satului” care au marcat,"This is because, as a result of the adoption of two or more types of measures, we have adopted one or more of the following:"  ,  Lexical error
3484,"thumbright, clădire terminată în 1802, este sediul , al și al .","thumbright, building terminated in 1802, is its headquarters, al and al." ,  Good translation
4068,Se spune că există câte un fel de pentru fiecare zi a anului.,They say there are one kind of every day of the year.   , Good translation
6761,Terenul era de multe ori muntos care nu era adecvat pentru cavalerie.,The land was often mountainous and not suitable for the cavity. , Lexical translation
2339,"Italia a suferit pierderi grele în luptele cu triburile locale, pentru asigurarea controlului ferm asurpra noii posesiuni.",Italy has suffered heavy losses in fighting against local tribes to ensure firm control of the new possession.  ,  Good translation
4374,Pol III a trimis imediat un semnal de alarmă către bateriile artileriei de coastă de pe Insula Rauøy.,Pol III immediately sent an alarm to the coastal artillery batteries on Rauøy Island. ,   Good translation
4305,"Există organisme de reglementare la nivelul întregului Regat, cum ar fi , , precum și unele neguvernamentale, cum ar fi .","There are regulators throughout the King, such as some non-governmental bodies, such as the King." ,   Lexical error
