,name,run,best_validation_correlation,peak_epoch
static-0,static,0,0.4442506931398658,5
laser-0,laser,0,0.5727196087514428,3
distil-0,distil,0,0.5224995404290325,8
paraphrase-0,paraphrase,0,0.5364716957253673,2
labse-0,labse,0,0.6162131562567359,3
bert-cls-0,bert-cls,0,0.6320604799723966,5
bert-max-0,bert-max,0,0.6073840550420432,11
bert-mean-0,bert-mean,0,0.6451201666467772,5
xlmr-0,xlmr,0,0.5345584478282002,3
static-1,static,1,0.4132231451057242,9
laser-1,laser,1,0.5863844397078233,4
distil-1,distil,1,0.46880977024491866,1
paraphrase-1,paraphrase,1,0.5371673476831937,4
labse-1,labse,1,0.5906741409832466,8
bert-cls-1,bert-cls,1,0.5913557682708883,9
bert-max-1,bert-max,1,0.5736520816597293,7
bert-mean-1,bert-mean,1,0.6055448656408453,7
xlmr-1,xlmr,1,0.567840155968766,5
static-2,static,2,0.33902639520334277,5
laser-2,laser,2,0.5928528555339098,4
distil-2,distil,2,0.4982437520854007,5
paraphrase-2,paraphrase,2,0.6019326727519029,1
labse-2,labse,2,0.5477165558302944,8
bert-cls-2,bert-cls,2,0.6428023477290732,6
bert-max-2,bert-max,2,0.6703867738910276,12
bert-mean-2,bert-mean,2,0.7090651496623794,1
xlmr-2,xlmr,2,0.569358709789676,2
