,original,translation
5298,"There’s a greater level of objectivity, which I like.","Es war eine größere Ebene der Objektivität, die ich mag."
3321,"If a rodent dies inside the plastic, the subsequent botulism toxins released can contaminate the entire bale.","Wenn ein Nagetier im Kunststoff stirbt, können die Botulismusgifte, die freigesetzt werden, den gesamten Ballen kontaminieren."
663,"However, the Liberal Democrats oppose the European federalism espoused by their counterparts.","Die Liberaldemokraten sind jedoch gegen den europäischen Föderalismus, der von ihren Amtskollegen befürwortet wird."
3366,"The Humane Society of the United States writes that the procedure can cause redness, ulceration, hemorrhaging, cloudiness, or even blindness.","Die Humane Society of the United States schreibt, dass das Verfahren Rötung, Ulzeration, Hämorrhagen, Trübungen oder sogar Blindheit verursachen kann."
2015,He matched breaths with harmony and cherished the abstruse.,Er passte Atemzüge mit Harmonie und liebte die abstruse.
3789,"On 31 January, Galloway defeated MVP by disqualification, after the Beat Down Clan interfered in the match.","Am 31. Januar besiegte Galloway MVP durch Disqualifikation, nachdem sich der Beat Down Clan in das Spiel einmischte."
2383,"However, The Terminator eventually earned over $78 million worldwide.","Jedoch, The Terminator schließlich verdient über 78 Millionen US-Dollar weltweit."
5991,"Bill Roy campaigned intensely around Kansas City linking Dole to Nixon, Watergate, and Ford's pardon of Nixon.","Bill Roy kämpfte intensiv um Kansas City und verband Dole mit Nixon, Watergate und Fords Begnadigung Nixons."
6644,classes showered in restrooms adjacent to the cafeteria.,Klassen duschen in Toiletten neben der Cafeteria.
4388,"In November 1928, Nu Beta absorbed the Theta Beta Rho Fraternity.",Im November 1928 absorbierte Nu Beta die Theta Beta Rho Fraternität.
998,"Finally, his dear friend and defender, the Dowager Electress Sophia, died in 1714.","Schließlich starb 1714 sein lieber Freund und Verteidiger, die Dowager-Kurfürstin Sophia."
6627,"He placed his infantry between the trenches and the cavalry, which far outnumbered the Roman cavalry, on the flanks, outside the trenches.","Er setzte seine Infanterie zwischen den Gräben und der Kavallerie, die weit über die römische Kavallerie hinausging, auf die Flanken, außerhalb der Gräben."
5414,"Conspiracy theories, disinformation, and harassment","Verschwörungstheorien, Desinformation und Belästigung"
4518,Deposits were associated with pillow basalts alterered to greenstone.,Ablagerungen wurden mit Kopfkissen Basalt zu Greenstone verändert assoziiert.
4488,"It kept periphyton from forming marl, one of two soils in the Everglades.","Es hielt Periphyton von der Bildung von Marl, einer von zwei Böden in den Everglades."
5828,"Stirling Moss regarded Mouton as ""one of the best"", and Niki Lauda described her as a ""superwoman"".","Stirling Moss betrachtete Mouton als ""eine der Besten"", und Niki Lauda beschrieb sie als ""Superfrau""."
4396,In 1925 Dr François Fougerat de David de Lastours wrote a thesis on heliotherapy.,1925 schrieb Dr. François Fougerat de David de Lastours eine Diplomarbeit über Heliotherapie.
958,"Kevin Pietersen managed to scamper a single, and after six overs, England were 50 for 2.","Kevin Pietersen schaffte es, eine Single zu scampen, und nach sechs Overs waren England 50 für 2."
2467,"The New York chapter of the ACLU defended Billie Boggs, a mentally ill woman who exposed herself and defecated and urinated in public.","Das New Yorker Kapitel der ACLU verteidigte Billie Boggs, eine psychisch kranke Frau, die sich selbst enthüllte und in der Öffentlichkeit ausweidete und urinierte."
5857,The Hornet and the later Gremlin shared platforms.,Die Hornet und die späteren Gremlin teilten Plattformen.
4809,"After first attracting yeomen farmers and common planters, in the 19th century, the Baptists began to attract major planters among the elite.","Nachdem die Baptisten im 19. Jahrhundert Yeomen-Bauern und gemeinsame Pflanzer angezogen hatten, begannen sie große Pflanzer unter der Elite anzuziehen."
6719,"The 5th Brigade consisted of the 21st, 22nd and 23rd Battalions.","Die 5. Brigade bestand aus dem 21., 22. und 23. Bataillon."
1452,"Muslims, Sikhs, Buddhists, and Hindus live in Alberta.","Muslime, Sikhs, Buddhisten und Hindus leben in Alberta."
5708,"""Major League Baseball Team Histories"" by Major League Baseball, 2015.","""Major League Baseball Team Histories"" von Major League Baseball, 2015."
1665,Essays in Honor of the Bicentenary of Mary Shelley's Birth.,Aufsätze zu Ehren des 200. Geburtstages Mary Shelleys.
3425,This extended his patronage throughout Hispania and into southern Gaul.,Dies erweiterte seine Schirmherrschaft in ganz Hispania und in Süd-Gallien.
5834,"Gidget, 15, American chihuahua, Taco Bell mascot, stroke.","Gidget, 15, American chihuahua, Taco Bell Maskottchen, Schlaganfall."
