,total_loss,avg_loss,correlation,p
paraphrase_best_ru,418562.236328125,418.562236328125,0.6309972050750912,3.660478911166175e-112
xlmr_last_ro,361164.22314453125,361.16422314453126,0.6889697699157126,1.136059471287023e-141
labse_last_ru,404316.83935546875,404.31683935546874,0.6526188579740035,2.0773773057822137e-122
labse_last_ro,385486.6193847656,385.4866193847656,0.6655421510688486,6.041700057745205e-129
laser_last_mixed,1035876.0552978516,345.29201843261717,0.6403347964575276,0.0
distil_last_mixed,1004289.7915039062,334.76326383463544,0.6482311376332495,0.0
laser_last_de,182105.09356689453,182.10509356689454,0.1995505638424897,1.9327932100989855e-10
bert-mean_last_de,179446.48181152344,179.44648181152343,0.2502249447962688,9.667508369467735e-16
labse_last_de,186668.1689453125,186.6681689453125,0.2280547638248127,2.8970138561269924e-13
static_best_ru,558058.1948242188,558.0581948242187,0.45925087886679594,2.537307913335884e-53
distil_best_ro,351970.1750488281,351.97017504882814,0.6875873717926108,6.916461294830023e-141
xlmr_best_ro,330656.4523925781,330.6564523925781,0.7104205254514981,1.953404958518329e-154
distil_best_ru,402305.25634765625,402.30525634765627,0.6446296997775984,1.585720764320952e-118
paraphrase_best_ro,356928.1961669922,356.92819616699217,0.6851683138958404,1.5926394737070568e-139
distil_best_de,179775.01708984375,179.77501708984374,0.22888744817941983,2.3627919545377867e-13
static_last_mixed,1360803.8424072266,453.60128080240884,0.5025523316482776,8.991079966960534e-192
distil_last_ru,432599.966796875,432.599966796875,0.6224304545141025,2.5226185841240945e-108
static_last_ro,544493.5930175781,544.4935930175782,0.49105621733366095,8.156999438388055e-62
bert-cls_best_mixed,879546.7788696289,293.18225962320963,0.6983236912538033,0.0
labse_best_ru,389214.9326171875,389.2149326171875,0.6611004136087535,1.1599429409382937e-126
bert-cls_best_ru,407453.06005859375,407.45306005859373,0.6397559118569744,3.2530067929822224e-116
bert-mean_best_mixed,867000.6174316406,289.0002058105469,0.7187435155131761,0.0
xlmr_best_mixed,964490.0751953125,321.49669173177085,0.6645424690537254,0.0
distil_last_de,193849.18212890625,193.84918212890625,0.2087539927246187,2.6160715063757126e-11
laser_best_de,189613.78161621094,189.61378161621093,0.21907665030337464,2.48036927834567e-12
laser_best_mixed,982581.5342407227,327.5271780802409,0.6672276643868416,0.0
laser_best_ru,410121.5546875,410.1215546875,0.6449892305413002,1.0665834798368065e-118
paraphrase_best_de,189798.60650634766,189.79860650634765,0.19042580690892813,1.2800114757612002e-09
bert-mean_best_ro,272627.68963623047,272.62768963623046,0.7769579082159991,8.820736764561407e-203
static_best_mixed,1253803.9856567383,417.93466188557943,0.5271054329122733,3.4088034387978644e-214
xlmr_last_mixed,1042869.775390625,347.6232584635417,0.643751034520841,0.0
distil_best_mixed,934050.4313964844,311.3501437988281,0.6721892265526697,0.0
laser_last_ro,407939.2814941406,407.93928149414063,0.6415573217632706,4.59853185408406e-117
paraphrase_last_ru,473132.3076171875,473.1323076171875,0.5856136809675873,4.145914930375725e-93
static_last_de,206683.3515625,206.6833515625,0.07467693636700795,0.018184638621461174
bert-cls_last_ru,416647.8591308594,416.6478591308594,0.6318763254568854,1.454779240887683e-112
xlmr_best_ru,442823.0480957031,442.82304809570314,0.6093787039644648,1.0600243513337565e-102
labse_best_mixed,901129.442199707,300.37648073323567,0.6880601123794674,0.0
bert-cls_best_ro,302845.48974609375,302.84548974609373,0.7539000332946444,2.8035111827352964e-184
paraphrase_best_mixed,965289.0451660156,321.76301505533854,0.6631536531508166,0.0
labse_last_mixed,976471.6109619141,325.49053698730467,0.6646252039847445,0.0
bert-mean_best_de,189916.4774169922,189.9164774169922,0.42782421684701166,9.098865357338772e-46
bert-mean_last_ru,427860.40625,427.86040625,0.6318310343980881,1.5257183422064684e-112
laser_best_ro,382845.4782714844,382.84547827148435,0.6787638562604171,5.562031608103544e-136
bert-mean_last_ro,321733.14404296875,321.7331440429688,0.7308710656451195,9.602340769874282e-168
paraphrase_last_mixed,1037830.8828125,345.9436276041667,0.6391663692371918,0.0
laser_last_ru,445831.3225097656,445.83132250976564,0.6177271883527404,2.876320381212527e-106
labse_best_ro,334532.9831542969,334.53298315429686,0.7155871234053632,1.0960869303627849e-157
