,total_loss,avg_loss,correlation,p
laser_best_et,734891.4155273438,734.8914155273437,0.4486042189792854,1.1294700687090054e-50
labse_best_et,815653.6650390625,815.6536650390625,0.43028991772319736,2.4804320210302328e-46
bert-cls_last_et,823785.05078125,823.78505078125,0.48174697805915284,3.0949414055404376e-59
bert-mean_last_et,748740.5986328125,748.7405986328125,0.40766390741463004,2.5253990575560984e-41
distil_last_et,909847.0830078125,909.8470830078124,0.40378920492339365,1.6675345501989643e-40
xlmr_best_et,856840.75390625,856.84075390625,0.43923911914531716,2.0238960351241275e-48
distil_best_zh,523877.67541503906,523.8776754150391,0.12955258301618594,3.973479578978409e-05
laser_best_zh,421459.0615234375,421.4590615234375,0.11547719951170576,0.0002528156347797481
xlmr_last_zh,598053.3754882812,598.0533754882813,0.10627872425586866,0.0007622177937114231
paraphrase_last_zh,627647.5124511719,627.6475124511719,0.13585418298640045,1.6272891703990248e-05
bert-mean_last_zh,378149.0788574219,378.1490788574219,0.07848364236319616,0.013042863321452974
bert-cls_best_et,818165.4951171875,818.1654951171874,0.5241165447100185,1.2038488959713895e-71
bert-mean_best_et,787305.9765625,787.3059765625,0.468596879374128,1.002214257158139e-55
paraphrase_last_et,960501.3369140625,960.5013369140624,0.44241988471235777,3.537976006453006e-49
paraphrase_best_et,851028.828125,851.028828125,0.4510058253692716,2.9080946544721295e-51
xlmr_last_et,891119.2138671875,891.1192138671875,0.4224864755449127,1.4622414943895662e-44
labse_best_zh,250055.7501220703,250.05575012207032,0.11619754457964311,0.00023107270064292798
distil_best_et,872869.4272460938,872.8694272460938,0.4340958716433497,3.266122497093766e-47
paraphrase_best_zh,457253.5119628906,457.2535119628906,0.11871768038268483,0.00016802062204262762
distil_last_zh,642527.1479492188,642.5271479492187,0.1451873357234354,4.028025223780276e-06
bert-cls_last_zh,358350.1368408203,358.3501368408203,0.06919191939407573,0.028674952541403842
xlmr_best_zh,549374.2585449219,549.3742585449219,0.1274336856170704,5.316626787212269e-05
laser_last_zh,452490.8076171875,452.4908076171875,0.11399344033994635,0.00030377364443190884
laser_last_et,849030.8857421875,849.0308857421875,0.41299441983749463,1.80630247525095e-42
labse_last_zh,368643.3679199219,368.6433679199219,0.051016819195000854,0.10689108573932855
bert-cls_best_zh,300887.9780883789,300.88797808837893,0.16386706667573092,1.8811782682905745e-07
labse_last_et,1012891.015625,1012.891015625,0.38724981552478965,3.994588057083162e-37
bert-mean_best_zh,272202.5799560547,272.2025799560547,0.09120621831844006,0.003894230432515368
