,total_loss,avg_loss,correlation,p
xlmr_last_zh,611547.4575195312,611.5474575195312,0.09358615488536112,0.003053938082865523
distil_last_et,895819.0986328125,895.8190986328125,0.4038656686822736,1.6069501645149843e-40
paraphrase_last_et,970782.6533203125,970.7826533203125,0.4412172932209689,6.856041957129219e-49
laser_best_et,737743.6396484375,737.7436396484375,0.42492413201739054,4.1393407357755487e-45
labse_last_et,1006419.1865234375,1006.4191865234375,0.3921122179135816,4.2445281622082925e-38
bert-mean_last_zh,458960.853515625,458.960853515625,0.08968226424096404,0.004537217332864258
bert-cls_best_zh,253880.99243164062,253.88099243164064,0.1414865914376377,7.081826798975988e-06
bert-cls_last_et,923889.78515625,923.88978515625,0.43892402671096653,2.4031656583302128e-48
bert-mean_best_zh,258694.21612548828,258.69421612548825,0.16853058769778595,8.270277202376281e-08
laser_last_zh,505933.0361328125,505.9330361328125,0.04039200053728723,0.20187405178934115
bert-mean_best_et,814253.552734375,814.253552734375,0.49198454753846854,4.466297697271593e-62
xlmr_best_zh,690847.6606445312,690.8476606445313,0.07043867654642394,0.025917363019997055
bert-cls_last_zh,524763.0502929688,524.7630502929687,0.11341874241659129,0.0003259756230601348
labse_best_zh,314018.7943725586,314.0187943725586,0.05213140141915797,0.0994351511007188
paraphrase_best_zh,554110.6088867188,554.1106088867188,0.15338373504596248,1.0979539534580376e-06
bert-mean_last_et,876009.4697265625,876.0094697265625,0.4057673779714701,6.381431521228938e-41
distil_best_zh,607470.2397460938,607.4702397460937,0.08079222776851995,0.010592626806425734
paraphrase_best_et,899678.2104492188,899.6782104492188,0.442910634372228,2.6988270817963328e-49
distil_last_zh,619054.7553710938,619.0547553710937,0.1057010028144299,0.0008146725971349054
bert-cls_best_et,857583.0751953125,857.5830751953125,0.5368950909515389,9.567339547654665e-76
paraphrase_last_zh,637643.0034179688,637.6430034179688,0.149506856335841,2.0480760750726526e-06
distil_best_et,1120107.09375,1120.10709375,0.40809399560751086,2.0448926088197105e-41
labse_best_et,898113.208984375,898.113208984375,0.422533787342481,1.427000684237327e-44
xlmr_best_et,930277.7119140625,930.2777119140625,0.38976653099423153,1.2576737033098353e-37
laser_best_zh,409549.6436767578,409.5496436767578,0.09298378613951852,0.003249371018977086
labse_last_zh,394106.59765625,394.10659765625,0.03684588925849062,0.244380523348197
xlmr_last_et,835605.41796875,835.60541796875,0.4446719369068102,1.0176337919710978e-49
laser_last_et,923492.833984375,923.492833984375,0.3902567714482962,1.0029781458984058e-37
