,total_loss,avg_loss,correlation,p
distil_last_ru,441250.44970703125,441.25044970703124,0.6151618803652572,3.682494358683915e-105
distil_best_ru,420856.39501953125,420.85639501953125,0.639156969387597,6.216217403108998e-116
bert-cls_best_mixed,880960.9439086914,293.6536479695638,0.6958763490592237,0.0
labse_best_ro,319132.8923339844,319.1328923339844,0.7199453914997969,1.739792104333252e-160
bert-cls_best_de,171579.49285888672,171.5794928588867,0.29189333461141853,4.30370246526879e-21
static_last_ru,617088.3251953125,617.0883251953124,0.4321524684341028,9.226479100303795e-47
laser_best_ru,400661.2568359375,400.6612568359375,0.6608257977724137,1.600740207203525e-126
paraphrase_last_de,213302.58416748047,213.30258416748046,0.15655795277829998,6.514153535950562e-07
bert-mean_best_mixed,897658.4682617188,299.2194894205729,0.703464331026548,0.0
laser_best_ro,385246.1818847656,385.24618188476563,0.6669158584925808,1.166820393940629e-129
xlmr_last_mixed,988948.6380615234,329.6495460205078,0.66097104061271,0.0
bert-mean_best_ru,418891.318359375,418.891318359375,0.6468975747151764,1.2879737654771105e-119
laser_best_de,201522.08758544922,201.5220875854492,0.22495980065630244,6.136920103834603e-13
bert-mean_best_de,164691.8119506836,164.6918119506836,0.3730358450303124,2.2658858858909684e-34
bert-cls_last_ro,374503.4982910156,374.5034982910156,0.6937949453123051,1.9155302160097565e-144
bert-cls_best_ru,404914.7861328125,404.9147861328125,0.6432591358529497,7.155924121364752e-118
bert-cls_last_de,215363.5067138672,215.3635067138672,0.11637428858555787,0.00022601229997481245
xlmr_best_ru,430706.6123046875,430.7066123046875,0.6120447950751176,7.905808963046953e-104
labse_best_de,173394.13262939453,173.39413262939453,0.28717867990731993,1.9344125252953404e-20
xlmr_last_de,211824.98217773438,211.82498217773437,0.16934377260849137,7.149305801389192e-08
xlmr_last_ru,450247.6813964844,450.2476813964844,0.6100615678933239,5.464954814026256e-103
paraphrase_best_de,207187.6085205078,207.1876085205078,0.1712277461522569,5.087962376689097e-08
static_best_ru,560271.1440429688,560.2711440429688,0.4569956791588209,9.402363331737163e-53
bert-cls_best_ro,304466.6525878906,304.4666525878906,0.7479328483122145,8.026384939770173e-180
static_best_de,201618.48419189453,201.61848419189454,0.09866004665943495,0.0017863735509161848
bert-mean_last_ru,419811.705078125,419.811705078125,0.6363758145746272,1.233921265384463e-114
bert-cls_last_ru,503440.91845703125,503.4409184570313,0.5584114882762763,4.641006916600667e-83
paraphrase_best_ro,350053.5274658203,350.0535274658203,0.6945077078082034,7.378756209594624e-145
labse_best_mixed,863151.9501953125,287.71731673177084,0.7033893268576845,0.0
static_best_ro,486586.6505126953,486.5866505126953,0.5112636687055816,1.0750303513821871e-67
xlmr_best_ro,316210.7556152344,316.21075561523435,0.7208439310511079,4.536436930221592e-161
static_best_mixed,1248476.284729004,416.15876157633465,0.5231464165086646,1.876766700364125e-210
labse_last_de,212189.97875976562,212.18997875976564,0.16263031154277968,2.3303072605146144e-07
paraphrase_best_mixed,1005425.5651855469,335.14185506184896,0.6515507324027605,0.0
bert-mean_last_de,209104.658203125,209.104658203125,0.11472414410393204,0.0002775845437257019
laser_last_de,203893.67529296875,203.89367529296874,0.15098655815318762,1.6173348237074207e-06
bert-mean_last_ro,339800.9353027344,339.8009353027344,0.7161842776688611,4.564717857788345e-158
