,total_loss,avg_loss,correlation,p
static_last_ro,512940.4501953125,512.9404501953125,0.5018794623947234,6.4741075209457665e-65
static_last_ru,575755.7680664062,575.7557680664063,0.44948307975060336,6.883050548745549e-51
xlmr_last_mixed,977385.5302734375,325.7951767578125,0.6613459739223914,0.0
paraphrase_best_ru,425722.65966796875,425.72265966796874,0.620945131574962,1.1356635533195113e-107
labse_best_ro,343859.294921875,343.859294921875,0.7153789462222251,1.4867510358441802e-157
labse_last_ro,360280.4816894531,360.2804816894531,0.6869758550621825,1.5328708164197234e-140
xlmr_last_ro,336783.4289550781,336.78342895507814,0.7040278148482182,1.641712080377113e-150
static_last_mixed,1291427.7185058594,430.4759061686198,0.5172241547719081,5.991562714036285e-205
bert-cls_best_ru,408156.98974609375,408.15698974609376,0.6422959422818136,2.0539154965313786e-117
distil_last_ru,438820.25341796875,438.82025341796873,0.6125907389492461,4.6319219715006644e-104
bert-cls_best_ro,319327.2775878906,319.32727758789065,0.7435164716141414,1.3271083200422182e-176
labse_last_ru,390325.1943359375,390.3251943359375,0.6632102411687566,9.655418810870665e-128
bert-cls_last_mixed,908761.5249633789,302.9205083211263,0.6882527934422782,0.0
labse_best_de,179922.701171875,179.922701171875,0.24544881915773828,3.46781123221078e-15
laser_last_ro,366714.0625,366.7140625,0.6798060877771528,1.4955998452574798e-136
paraphrase_best_ro,358720.00341796875,358.72000341796877,0.6785296060020539,7.46644416280144e-136
paraphrase_last_de,200745.87475585938,200.74587475585938,0.17714952183695087,1.7043132785855038e-08
static_best_ro,491104.1396484375,491.1041396484375,0.5185807618814038,6.353060881612601e-70
distil_last_de,226039.9334716797,226.0399334716797,0.09237129188865384,0.0034596917446379403
bert-mean_last_de,186250.5648803711,186.2505648803711,0.24598861544366987,3.005715938613227e-15
distil_best_mixed,1057881.6938476562,352.6272312825521,0.6490673876244983,0.0
static_best_de,203044.4493408203,203.0444493408203,0.0914398752430968,0.003803306791616002
bert-mean_best_ru,401813.20654296875,401.81320654296877,0.6588299520472549,1.6464098693204713e-125
bert-cls_last_ro,315001.71337890625,315.00171337890623,0.7395054358599829,9.749194399172123e-174
labse_last_de,200241.69262695312,200.24169262695312,0.16746998709180458,9.990007561562014e-08
xlmr_best_ru,422199.67236328125,422.19967236328125,0.6240902150860639,4.650898968427828e-109
labse_best_ru,392532.85888671875,392.53285888671877,0.6702035652963338,2.1988435190333201e-131
laser_best_ru,396898.58935546875,396.89858935546874,0.6552605419346729,1.0176486665531842e-123
laser_last_de,181371.7681274414,181.3717681274414,0.2334258699540283,7.670450443566824e-14
laser_best_de,182030.04888916016,182.03004888916016,0.24837373985365388,1.5912060582627433e-15
distil_last_mixed,1047313.1494140625,349.1043831380208,0.6272703365653973,0.0
xlmr_best_ro,319115.958984375,319.115958984375,0.7204513337082532,8.16711148143773e-161
xlmr_best_mixed,940859.0921020508,313.6196973673503,0.671538244639448,0.0
paraphrase_last_ro,366459.4599609375,366.4594599609375,0.6736618176800655,3.189823537898178e-133
bert-mean_best_ro,291452.0078125,291.4520078125,0.7610642422307481,8.40711954860703e-190
bert-cls_best_mixed,897581.221862793,299.193740620931,0.6935437479766462,0.0
paraphrase_last_ru,434785.740234375,434.785740234375,0.6136528508700814,1.632112622420711e-104
static_last_de,202731.5112915039,202.7315112915039,0.10357645320962217,0.0010376875503525923
distil_best_ru,440362.7705078125,440.3627705078125,0.6347580181288235,6.9193585870507e-114
paraphrase_best_de,193364.00561523438,193.36400561523436,0.18735416335345173,2.3697648135238664e-09
bert-mean_best_de,169915.5860595703,169.9155860595703,0.3665665997635027,3.663598688633599e-33
laser_last_mixed,945232.9024658203,315.0776341552734,0.6729471743470433,0.0
labse_best_mixed,916314.8467407227,305.43828224690753,0.690055097509545,0.0
paraphrase_best_mixed,977806.6832275391,325.93556107584635,0.6545576709940858,0.0
bert-mean_best_mixed,861774.8337402344,287.25827791341146,0.7115892129572895,0.0
static_best_ru,541658.4416503906,541.6584416503906,0.4723910517149906,1.0087674291211134e-56
laser_best_mixed,948462.8955688477,316.1542985229492,0.6753589877093208,0.0
bert-cls_last_ru,412972.28564453125,412.97228564453127,0.6331731540211093,3.709160646764803e-113
distil_best_de,228079.91943359375,228.07991943359374,0.15236361729574954,1.2956393866821924e-06
xlmr_last_ru,441013.1481933594,441.01314819335937,0.614318645919316,8.470205753421584e-105
distil_last_ro,382452.9714355469,382.4529714355469,0.6494307205730907,7.603250985343663e-121
distil_best_ro,389439.0092163086,389.4390092163086,0.658294917473156,3.065987338758379e-125
xlmr_last_de,199588.9588623047,199.58895886230468,0.18934991369688808,1.5900624300245256e-09
laser_last_ru,397146.57177734375,397.14657177734375,0.6532680980949415,9.926581799852251e-123
