,total_loss,avg_loss,correlation,p
paraphrase_last_zh,520957.736328125,520.957736328125,0.14708973714597268,2.9974211619282925e-06
labse_last_zh,316926.47497558594,316.92647497558596,0.06037092910943487,0.05633313586232
bert-mean_best_et,876036.0703125,876.0360703125,0.5652076936070376,1.750637093981545e-85
xlmr_last_zh,517351.3122558594,517.3513122558594,0.08841304075030282,0.005144406550062045
laser_last_et,768924.4482421875,768.9244482421875,0.42528564906104105,3.429756334900644e-45
bert-mean_last_et,818586.923828125,818.586923828125,0.44909672698886555,8.558843579905357e-51
bert-cls_best_zh,388833.68005371094,388.83368005371096,0.12978492627506005,3.847553093409913e-05
laser_best_et,739726.0600585938,739.7260600585937,0.4419396868250468,4.609144255206477e-49
bert-cls_last_et,818293.6455078125,818.2936455078125,0.48356702043717326,9.832098448990525e-60
distil_last_et,849830.40234375,849.83040234375,0.3924758032017919,3.583993140880337e-38
bert-mean_best_zh,242289.26538085938,242.28926538085938,0.15525291164241267,8.083960375233934e-07
bert-mean_last_zh,336536.4701538086,336.5364701538086,0.08467676240318492,0.007380308608731912
xlmr_best_et,800233.546875,800.233546875,0.4253780638975723,3.268665649866716e-45
distil_best_zh,385253.28771972656,385.2532877197266,0.11334454913010958,0.00032894994787175427
bert-cls_last_zh,331310.5521850586,331.3105521850586,0.12393057664177334,8.519916627219224e-05
paraphrase_best_zh,528105.8044433594,528.1058044433594,0.142379053875087,6.188787861135429e-06
distil_best_et,757485.8935546875,757.4858935546876,0.4079236900614166,2.2232162533289516e-41
laser_best_zh,339716.6953125,339.7166953125,0.13037811272901753,3.542988101328065e-05
labse_best_zh,220888.25170898438,220.88825170898437,0.09933324090918122,0.0016606108907341048
labse_last_et,953526.98828125,953.52698828125,0.39269991066705845,3.2287952928311946e-38
labse_best_et,856471.3188476562,856.4713188476562,0.4463672233364661,3.958473061794149e-50
paraphrase_last_et,873848.7451171875,873.8487451171875,0.46337165303272604,2.2586985845368245e-54
distil_last_zh,506277.0869140625,506.2770869140625,0.1364178799224467,1.4994566912416605e-05
laser_last_zh,359138.64453125,359.13864453125,0.12746255891417682,5.295732379996875e-05
bert-cls_best_et,798124.326171875,798.124326171875,0.5039548613281035,1.5990118479748958e-65
xlmr_last_et,784088.1254882812,784.0881254882812,0.4312397711784256,1.4991080576906398e-46
xlmr_best_zh,490921.8249511719,490.92182495117186,0.07453563150113338,0.018405624451426725
paraphrase_best_et,889523.2568359375,889.5232568359374,0.46960422869751756,5.4630445536373775e-56
