,total_loss,avg_loss,correlation,p
xlmr_last_de,202259.86767578125,202.25986767578124,0.18376336164112198,4.8058653774234645e-09
xlmr_best_ro,342182.1179199219,342.1821179199219,0.6931348056847306,4.6230175839190433e-144
laser_best_de,178370.29376220703,178.37029376220704,0.2234481031625319,8.819572490642661e-13
bert-cls_best_de,167739.50750732422,167.73950750732422,0.33919242798418514,2.4022660001833272e-28
paraphrase_last_ru,450691.99658203125,450.69199658203127,0.6078985686523203,4.431779392818336e-102
xlmr_last_ro,329898.962890625,329.898962890625,0.713835897214578,1.412084421346792e-156
bert-cls_best_ro,307457.90673828125,307.4579067382812,0.7347259170237457,2.166157050149735e-170
labse_best_ru,394725.06640625,394.72506640625,0.6564565470288196,2.5715132447587305e-124
bert-mean_last_ro,328246.46826171875,328.24646826171875,0.723629278881039,6.797778544673968e-163
static_best_mixed,1201474.1599121094,400.49138663736977,0.5403178792818486,4.812530526950173e-227
laser_best_ro,368987.0827636719,368.9870827636719,0.6650033786049949,1.1487184575260327e-128
paraphrase_best_ru,436161.5595703125,436.1615595703125,0.609899695528453,6.395228481336711e-103
laser_last_ru,452245.8369140625,452.2458369140625,0.6079476149464246,4.227116925617442e-102
xlmr_last_mixed,973429.203125,324.4764010416667,0.6654842657074203,0.0
distil_last_mixed,1097431.4296875,365.8104765625,0.617807891296872,2.478503464e-315
laser_best_ru,400326.447265625,400.326447265625,0.6465806309958759,1.831649248977731e-119
static_best_de,196258.58056640625,196.25858056640624,0.08558546951103596,0.006768283784292687
labse_last_ro,401610.7814941406,401.6107814941406,0.6528353523203588,1.624269530053199e-122
static_last_mixed,1364267.0837402344,454.7556945800781,0.49888344353136416,1.410158037322976e-188
distil_best_de,213513.56884765625,213.51356884765624,0.12273885835987244,9.974544236531898e-05
labse_last_mixed,988598.3530273438,329.53278434244794,0.662376272529321,0.0
distil_best_ru,429479.13134765625,429.4791313476563,0.6338983522711543,1.7224027273514989e-113
bert-mean_best_ro,277058.5272216797,277.0585272216797,0.7611903792338988,6.6936280285111e-190
labse_last_de,182273.64587402344,182.27364587402343,0.2518709585471938,6.185859071164006e-16
bert-mean_last_ru,411960.1728515625,411.9601728515625,0.6476064524837826,5.8504614829830624e-120
bert-mean_best_ru,380878.50341796875,380.8785034179688,0.6712597445876513,6.072548481606137e-132
bert-cls_last_ro,355002.78466796875,355.00278466796874,0.699883401658858,5.054221966144556e-148
labse_last_ru,404713.91943359375,404.71391943359373,0.6575719907410171,7.08847903870095e-125
bert-cls_last_ru,447984.052734375,447.984052734375,0.6089918326103444,1.5417556636703395e-102
