,total_loss,avg_loss,correlation,p
xlmr_last_et,840822.3076171875,840.8223076171874,0.44419562762261017,1.3255218946665554e-49
laser_best_zh,515554.2663574219,515.5542663574219,0.1797189852692942,1.0480611781943296e-08
paraphrase_best_zh,584715.1904296875,584.7151904296875,0.12816552798343606,4.8103613606589554e-05
paraphrase_last_et,949639.3745117188,949.6393745117188,0.4359204370000663,1.2244107399343519e-47
bert-cls_last_zh,557545.1142578125,557.5451142578125,0.13894499454719164,1.0349612019055064e-05
bert-mean_last_zh,555036.6196289062,555.0366196289062,0.1254050641504724,6.996531421120286e-05
bert-cls_best_et,941308.5087890625,941.3085087890624,0.4620265118405096,4.9929606536024276e-54
paraphrase_last_zh,573306.041015625,573.306041015625,0.14686059474321622,3.1066496015703135e-06
bert-mean_best_zh,498166.1201171875,498.1661201171875,0.26677381848834286,9.35864088187874e-18
laser_last_zh,506267.1279296875,506.2671279296875,0.14020337564276916,8.58414589978807e-06
paraphrase_best_et,975111.3813476562,975.1113813476562,0.45977731393402205,1.866241056679279e-53
labse_last_zh,398316.9228515625,398.3169228515625,0.08135410824006392,0.010061973384236249
bert-mean_last_et,816978.0625,816.9780625,0.364846330469868,7.597901401135528e-33
xlmr_best_zh,696949.4462890625,696.9494462890625,0.09779262037388337,0.00196130594228692
labse_best_et,1066344.5126953125,1066.3445126953125,0.41870690042534164,1.0138480453808067e-43
bert-cls_best_zh,522383.146484375,522.383146484375,0.1840114833239869,4.578764944140274e-09
distil_last_et,939416.365234375,939.416365234375,0.3801684948299469,9.78202286676753e-36
laser_best_et,805320.9252929688,805.3209252929687,0.43343821168767926,4.644979569435482e-47
distil_best_zh,466928.0783691406,466.9280783691406,0.09521726389415719,0.0025772688277582822
distil_best_et,909504.8115234375,909.5048115234375,0.403448694675629,1.9660659878531256e-40
bert-mean_best_et,1030496.013671875,1030.496013671875,0.5255035097773668,4.4057608800664595e-72
labse_last_et,1077628.69921875,1077.62869921875,0.3600141746108291,5.757824569307329e-32
xlmr_best_et,985325.8212890625,985.3258212890624,0.4384849534410806,3.05210676211194e-48
bert-cls_last_et,936434.85546875,936.43485546875,0.39503974976418155,1.0806997408314233e-38
labse_best_zh,310765.4323120117,310.76543231201174,0.13980633899654743,9.107537171460499e-06
distil_last_zh,612402.0576171875,612.4020576171876,0.11141472476565353,0.0004158246136667837
xlmr_last_zh,606545.5629882812,606.5455629882813,0.09340694900564009,0.0031109307159340772
laser_last_et,910671.4340820312,910.6714340820313,0.35738943934023554,1.7049718631118608e-31
