,total_loss,avg_loss,correlation,p
paraphrase_best_ro,374231.04064941406,374.23104064941407,0.6706899408247411,1.2165813028114042e-131
bert-cls_last_mixed,1054072.966369629,351.35765545654294,0.6349986389474931,0.0
bert-cls_best_de,228644.0107421875,228.6440107421875,0.30691265076534796,2.9607585945715657e-23
distil_best_ru,466464.28125,466.46428125,0.6322400942494681,9.921933822670117e-113
paraphrase_best_ru,422626.37841796875,422.62637841796874,0.6341841237338501,1.2723667344786173e-113
static_best_ru,567964.251953125,567.964251953125,0.4658324041807288,5.2438438755104434e-55
bert-mean_last_ru,420403.798828125,420.403798828125,0.6323673262316963,8.677873464090005e-113
distil_best_ro,404054.65771484375,404.05465771484376,0.68122675681082,2.4742474033855902e-137
bert-mean_best_de,179738.89556884766,179.73889556884765,0.36501670925192276,7.069758613734381e-33
static_last_ru,648428.2783203125,648.4282783203125,0.36634828020586596,4.0199265289912916e-33
static_best_ro,503410.3779296875,503.4103779296875,0.508989159198255,5.165914597395404e-67
xlmr_last_de,233183.73046875,233.18373046875,0.19229288870618205,8.758708075760429e-10
paraphrase_last_de,237893.46032714844,237.89346032714843,0.16423203541992257,1.7654564962890428e-07
bert-mean_best_mixed,901543.9107666016,300.5146369222005,0.7097827944367434,0.0
bert-mean_best_ru,411614.39599609375,411.6143959960938,0.6540390038777623,4.1205301013629844e-123
laser_last_de,208784.95874023438,208.78495874023437,0.20927623005137003,2.3288276788381542e-11
paraphrase_last_ro,364096.71228027344,364.09671228027344,0.6706452947907023,1.2845687381741683e-131
labse_last_de,216689.4580078125,216.6894580078125,0.18966215783640528,1.4932477621035775e-09
xlmr_best_ro,337592.5505371094,337.5925505371094,0.7070482816020478,2.3673855914404444e-152
laser_best_de,199412.56811523438,199.41256811523436,0.22886925059051283,2.373361151697952e-13
bert-cls_last_ro,373496.845703125,373.496845703125,0.6782234595222152,1.0966387291524889e-135
labse_best_mixed,944910.3171386719,314.97010571289064,0.6990832948027679,0.0
labse_last_mixed,1032286.3312988281,344.09544376627605,0.6451612675806211,0.0
bert-cls_last_ru,465558.76953125,465.55876953125,0.5788374255446631,1.6205285912329754e-90
labse_last_ro,394589.8740234375,394.5898740234375,0.6480192739718121,3.691337154883966e-120
distil_last_de,220972.2637939453,220.9722637939453,0.1568051339578624,6.251892501154337e-07
laser_last_mixed,1077320.2902832031,359.1067634277344,0.6232070000608336,2e-322
laser_best_ru,409255.5556640625,409.2555556640625,0.6559180615184196,4.780817031235816e-124
bert-mean_last_de,217826.55346679688,217.82655346679687,0.17870157029903255,1.2716485717482688e-08
bert-cls_last_de,215017.25146484375,215.01725146484375,0.16390835235818105,1.8677292607650166e-07
xlmr_last_ru,456213.26904296875,456.21326904296876,0.5976855189395087,7.005518378478564e-98
paraphrase_last_ru,470937.6875,470.9376875,0.5741809426823463,9.035063504042689e-89
distil_best_mixed,1118033.0485839844,372.67768286132815,0.6605338549776962,0.0
distil_last_mixed,1086481.3786621094,362.16045955403644,0.616352600779614,1.9208861488e-313
bert-mean_last_mixed,986384.3786621094,328.7947928873698,0.6661793673350007,0.0
xlmr_best_mixed,979113.7475585938,326.37124918619793,0.6684616249327995,0.0
labse_best_de,209403.24145507812,209.40324145507813,0.2980287129513852,5.832859373592775e-22
static_last_de,226054.02319335938,226.05402319335937,0.11987391725828994,0.00014486318031438786
static_last_mixed,1406341.4282836914,468.7804760945638,0.47316148141010556,3.0893174137810443e-167
labse_best_ru,393281.08984375,393.28108984375,0.6756695226113948,2.6601496658124173e-134
laser_best_ro,414050.265625,414.050265625,0.663362011991931,8.067988338869312e-128
xlmr_last_ro,379654.4636230469,379.65446362304687,0.6570213738008434,1.3400001591181835e-124
static_best_de,220913.68627929688,220.91368627929688,0.05772395701994628,0.06805683878910035
xlmr_best_de,209904.41137695312,209.90441137695314,0.20612234255585782,4.679255128535483e-11
distil_last_ro,397269.6650390625,397.2696650390625,0.634225571768842,1.2176567936571512e-113
bert-cls_best_mixed,1106420.232421875,368.806744140625,0.682037149964102,0.0
bert-mean_last_ro,348638.14892578125,348.63814892578125,0.7052861617041307,2.8259428446155876e-151
laser_best_mixed,1022719.4585571289,340.90648618570964,0.6662523949811809,0.0
distil_best_de,247514.1173095703,247.5141173095703,0.20863296422017674,2.6874284920795817e-11
paraphrase_best_mixed,1006092.7628173828,335.3642542724609,0.6564324245157338,0.0
bert-cls_best_ru,463201.2880859375,463.2012880859375,0.6323327512341785,8.999680856106579e-113
paraphrase_best_de,209235.33813476562,209.2353381347656,0.17719781099392212,1.6889207351882414e-08
distil_last_ru,468239.49267578125,468.23949267578126,0.5861316720679194,2.6119106210929374e-93
static_last_ro,531859.1171875,531.8591171875,0.48755368230570056,7.784896485819215e-61
paraphrase_last_mixed,1072927.8585205078,357.64261950683596,0.620437873053281,9.00593e-319
laser_last_ru,443292.15576171875,443.29215576171873,0.6052749167393467,5.49279751605728e-101
laser_last_ro,425244.556640625,425.244556640625,0.6157651229821148,2.0261613809492437e-105
bert-mean_best_ro,310936.89453125,310.93689453125,0.7588420961421708,4.554522215634947e-188
xlmr_best_ru,431616.79248046875,431.61679248046875,0.6246678405078927,2.575972165294653e-109
xlmr_last_mixed,1069051.467163086,356.35048905436196,0.6282436302814799,0.0
bert-cls_best_ro,414574.9130859375,414.5749130859375,0.7217228895398702,1.211784576066141e-161
labse_best_ro,342225.98779296875,342.22598779296874,0.7161535839043569,4.7752059257501476e-158
labse_last_ru,421007.0139160156,421.00701391601564,0.6350496700431194,5.074682109779618e-114
static_best_mixed,1292288.3192138672,430.7627730712891,0.5232415778717632,1.527827990745959e-210
