,total_loss,avg_loss,correlation,p
bert-cls_best_et,675767.0307617188,675.7670307617187,0.5133005136215273,2.6093735820451007e-68
laser_last_zh,308914.255859375,308.914255859375,0.12780437498266078,5.05420592706741e-05
paraphrase_best_zh,387827.3371582031,387.82733715820314,0.11560363327803481,0.0002488657222920549
xlmr_best_et,768755.8876953125,768.7558876953125,0.4320091339625129,9.95825646379738e-47
labse_last_et,909152.21875,909.15221875,0.3711354375671771,5.166036527747037e-34
laser_last_et,805886.7973632812,805.8867973632813,0.3941601754744568,1.6324441160358632e-38
paraphrase_last_zh,432224.01623535156,432.22401623535154,0.14012551785807972,8.684464511179221e-06
bert-mean_last_et,861707.6196289062,861.7076196289063,0.3409423923205249,1.2211223658683414e-28
distil_best_et,700870.728515625,700.870728515625,0.43528668091801037,1.7227742878864696e-47
bert-cls_best_zh,177634.74557495117,177.63474557495118,0.1487450186501985,2.310788480146421e-06
distil_best_zh,291681.5662841797,291.68156628417967,0.09652617439937386,0.0022450151439012077
paraphrase_last_et,830318.9130859375,830.3189130859375,0.44268662475576837,3.0540062562384177e-49
distil_last_et,806370.716796875,806.370716796875,0.3879152116810589,2.945761189344691e-37
laser_best_et,684351.8588867188,684.3518588867188,0.45194388908664795,1.7067098212626424e-51
distil_last_zh,443004.3515625,443.0043515625,0.06782190932253329,0.031992505307249904
paraphrase_best_et,833283.7446289062,833.2837446289062,0.4502013708768037,4.586878104095137e-51
labse_last_zh,282193.20666503906,282.19320666503904,0.07492723537330537,0.01779888733923832
labse_best_et,818288.9599609375,818.2889599609375,0.4652048530093804,7.618692867254387e-55
bert-mean_best_zh,206364.77124023438,206.36477124023438,0.1942961201108262,5.805122247632446e-10
bert-cls_last_et,926443.6630859375,926.4436630859375,0.36000448235238713,5.781060296388935e-32
bert-cls_last_zh,360749.3942260742,360.74939422607423,0.10335473634083894,0.0010639558024367662
bert-mean_best_et,832922.3813476562,832.9223813476563,0.46818148945617877,1.2863876586750215e-55
bert-mean_last_zh,306139.9020996094,306.1399020996094,0.13595112385803554,1.6045909541178067e-05
xlmr_best_zh,383574.53125,383.57453125,0.12389455024968979,8.560790601896922e-05
xlmr_last_et,786808.3779296875,786.8083779296875,0.39410889040059155,1.672115569030179e-38
xlmr_last_zh,422094.3447265625,422.0943447265625,0.1014559746260647,0.0013153951341846866
laser_best_zh,307986.39904785156,307.98639904785153,0.16220902442984206,2.5056917619871475e-07
labse_best_zh,186791.42993164062,186.79142993164064,0.1477796163323741,2.6903346739345736e-06
