,total_loss,avg_loss,correlation,p
labse_best_ro,324232.7634277344,324.23276342773437,0.7247716717173177,1.1956934953658444e-163
bert-cls_last_ro,352952.9904785156,352.95299047851563,0.7055628681667011,1.9168513989721705e-151
distil_last_ro,385308.64276123047,385.3086427612305,0.6528351245817617,1.6246901623911e-122
bert-mean_best_ro,277684.0496826172,277.6840496826172,0.7720823231023722,1.093951946883126e-198
bert-mean_last_ro,345217.79553222656,345.21779553222655,0.7089099669437272,1.6895017759014517e-153
distil_last_ru,437364.3720703125,437.3643720703125,0.6189356189896393,8.583476014140816e-107
distil_best_mixed,938182.4659423828,312.7274886474609,0.6705729689915236,0.0
laser_last_de,178976.76232910156,178.97676232910158,0.22768345818817243,3.17185550616173e-13
paraphrase_last_mixed,1028888.4486083984,342.9628162027995,0.6414671861042852,0.0
paraphrase_best_ru,417993.9990234375,417.9939990234375,0.632176027940393,1.0614106727843336e-112
bert-cls_best_mixed,860129.7383422852,286.7099127807617,0.7019606872509476,0.0
static_last_ru,653964.1396484375,653.9641396484375,0.3930187510657577,2.7828732438054236e-38
paraphrase_best_ro,356195.9970703125,356.1959970703125,0.6835548379011944,1.2686356174729248e-138
paraphrase_last_ru,467434.2724609375,467.4342724609375,0.5905932647458237,4.715387817706682e-95
distil_best_ro,356305.73107910156,356.3057310791016,0.6805189040920122,6.071822221922686e-137
distil_best_de,180642.97735595703,180.64297735595704,0.23232881864119348,1.0089685709214784e-13
paraphrase_best_de,189548.05236816406,189.54805236816406,0.18590463818668918,3.157843471009405e-09
laser_last_ro,419703.6369628906,419.70363696289064,0.6328685397574274,5.116155143400601e-113
bert-mean_last_de,185416.72265625,185.41672265625,0.23904159442421213,1.8444006651068355e-14
bert-mean_best_ru,400567.85595703125,400.56785595703127,0.6511082500159684,1.1499585160674193e-121
labse_best_mixed,883810.9764404297,294.60365881347656,0.6953452081264139,0.0
static_best_de,201528.1713256836,201.5281713256836,0.0541216639409243,0.08715672788995127
labse_last_ro,393413.2385253906,393.4132385253906,0.6582291485883265,3.3092206664626107e-125
xlmr_last_de,203933.8828125,203.9338828125,0.1738685557013514,3.1385259000887326e-08
xlmr_best_de,200664.72778320312,200.66472778320312,0.1688045199255691,7.874904935932708e-08
xlmr_best_mixed,953095.0245361328,317.6983415120443,0.6629908944874362,0.0
bert-cls_best_ro,291093.95068359375,291.09395068359373,0.7529524934700446,1.458570341937879e-183
laser_best_de,193319.6173095703,193.3196173095703,0.2159735905075692,5.099927732389644e-12
laser_best_mixed,990476.5725097656,330.1588575032552,0.6666379483818264,0.0
xlmr_last_ro,350270.0986328125,350.2700986328125,0.6954763019518743,2.0091760716952184e-145
bert-mean_best_de,179056.7860107422,179.0567860107422,0.42535744876486126,3.303936157464479e-45
bert-cls_last_mixed,982146.5725097656,327.38219083658856,0.6621009376395725,0.0
labse_best_de,176143.9364013672,176.1439364013672,0.25965226122433976,7.171118617208807e-17
laser_best_ro,383376.0705566406,383.3760705566406,0.680193310019263,9.168149944533794e-137
laser_best_ru,413780.06103515625,413.7800610351562,0.6425604866413855,1.5380780352691196e-117
distil_last_mixed,1031567.0859375,343.8556953125,0.6387029696717095,0.0
static_best_ro,493369.58935546875,493.36958935546875,0.5154622980744823,5.745927084250019e-69
static_last_mixed,1420306.6782836914,473.43555942789715,0.4810288575379372,1.4296374381052437e-173
bert-cls_last_de,184485.26037597656,184.48526037597657,0.20625998502057513,4.539959980117827e-11
distil_best_ru,401233.75732421875,401.23375732421874,0.6478580143356907,4.419252944510599e-120
labse_best_ru,383434.27294921875,383.4342729492187,0.6661418076045652,2.950410467938684e-129
paraphrase_last_ro,360568.8034057617,360.56880340576174,0.6821760020974758,7.393900688336294e-138
static_last_ro,567475.7875976562,567.4757875976562,0.4735315719626998,5.0301883167927675e-57
paraphrase_best_mixed,963738.0668945312,321.2460222981771,0.6626384510721326,0.0
static_best_ru,571213.0966796875,571.2130966796875,0.4436248070980272,1.8185297600046447e-49
bert-cls_best_de,167419.8607788086,167.41986077880858,0.33188225921044767,3.87205538018872e-27
bert-mean_last_mixed,983551.2678222656,327.8504226074219,0.664955980645745,0.0
bert-mean_best_mixed,856575.4715576172,285.5251571858724,0.7169589781629445,0.0
paraphrase_last_de,200885.34594726562,200.88534594726562,0.20750179205826425,3.453238615903796e-11
bert-mean_last_ru,451155.14111328125,451.1551411132813,0.6105260300761409,3.479210927343507e-103
labse_last_mixed,984999.7132568359,328.33323775227865,0.6610609787569912,0.0
xlmr_best_ro,334929.00372314453,334.92900372314455,0.704614940404018,7.232157385869511e-151
labse_last_de,185420.07299804688,185.42007299804686,0.24808605746221762,1.718693642330931e-15
distil_last_de,208894.0762939453,208.89407629394532,0.13690963628018163,1.3958005908042812e-05
static_best_mixed,1266110.8465576172,422.03694885253907,0.5202673394057292,9.179755489423427e-208
bert-cls_last_ru,444708.2482910156,444.70824829101565,0.6082020063654316,3.3073666127764683e-102
xlmr_last_mixed,1012860.0788574219,337.6200262858073,0.6503577103242013,0.0
laser_last_ru,439446.7666015625,439.4467666015625,0.6227188206534628,1.8818704435631205e-108
static_last_de,198866.7579345703,198.8667579345703,0.11703829272318614,0.00020791425382142586
xlmr_last_ru,458656.1025390625,458.6561025390625,0.6006413576811329,4.4237254517723064e-99
labse_last_ru,406166.42236328125,406.16642236328124,0.6495139791069005,6.924816700236119e-121
bert-cls_best_ru,401615.89404296875,401.61589404296876,0.646280748228435,2.5549205015127217e-119
xlmr_best_ru,417501.3095703125,417.5013095703125,0.6293736479737756,1.9963304380011367e-111
laser_last_mixed,1038128.5918579102,346.0428639526367,0.6396007979328322,0.0
