,total_loss,avg_loss,correlation,p
labse_last_et,1015623.826171875,1015.623826171875,0.3945687707159774,1.3480051573122408e-38
laser_best_et,796652.8779296875,796.6528779296875,0.4669671212198948,2.663488753519949e-55
paraphrase_last_et,952653.1123046875,952.6531123046875,0.45995959330222036,1.677727458344722e-53
bert-cls_best_et,785453.390625,785.453390625,0.5593570032548818,2.1518377474607677e-83
bert-mean_best_et,795452.6787109375,795.4526787109374,0.47859252599598845,2.2217951722726856e-58
distil_last_et,876528.6416015625,876.5286416015625,0.42401013211752436,6.65218331299304e-45
labse_last_zh,358878.12072753906,358.87812072753906,0.08024423720204323,0.011133953958984793
bert-cls_last_zh,393437.5131225586,393.4375131225586,0.09826094928607393,0.0018649992449454966
paraphrase_best_zh,529924.0356445312,529.9240356445313,0.11581090786446772,0.00024251506741499704
bert-cls_best_zh,250166.4190979004,250.1664190979004,0.11352704670263263,0.00032167891913764007
laser_last_zh,447914.9411621094,447.91494116210936,0.07249743901258067,0.021864107065656883
xlmr_best_et,816309.9379882812,816.3099379882813,0.4331495159409061,5.420247686287488e-47
bert-cls_last_et,840484.1767578125,840.4841767578125,0.43664492569614377,8.2795808206102e-48
laser_last_et,876522.16796875,876.52216796875,0.40045792970929794,8.283990730124074e-40
labse_best_et,819790.48828125,819.79048828125,0.43267112126441826,6.997775218875475e-47
xlmr_last_zh,601714.5805664062,601.7145805664062,0.12488698157756842,7.499811049119096e-05
paraphrase_best_et,881820.9111328125,881.8209111328125,0.4563281983203109,1.3828980855165362e-52
distil_best_zh,492332.0642089844,492.3320642089844,0.14487806995936572,4.224780453997143e-06
bert-mean_best_zh,246768.3966064453,246.76839660644532,0.13389562697896476,2.156898459576991e-05
distil_last_zh,630944.4052734375,630.9444052734375,0.14060758031726553,8.080858531914622e-06
paraphrase_last_zh,627318.919921875,627.318919921875,0.1377308632795283,1.2377460076648967e-05
distil_best_et,873215.984375,873.215984375,0.43256738756139335,7.395927086830787e-47
laser_best_zh,504796.33642578125,504.79633642578125,0.10265246233295403,0.0011512669418405823
xlmr_last_et,891150.591796875,891.150591796875,0.42232840629890056,1.5863704531618686e-44
bert-mean_last_zh,385718.3515625,385.7183515625,0.10744615382383679,0.0006656425791049331
xlmr_best_zh,488074.41064453125,488.07441064453127,0.10904525296800192,0.0005517106289913157
bert-mean_last_et,729348.80078125,729.34880078125,0.4715776659571847,1.6543192506645484e-56
labse_best_zh,261329.09045410156,261.32909045410156,0.11697141141169708,0.00020967365139275786
