,total_loss,avg_loss,correlation,p
labse_last_de,172482.94104003906,172.48294104003907,0.28838282439102403,1.3213460921385154e-20
labse_best_ro,339089.63482666016,339.08963482666013,0.7006937166755476,1.6615650562651933e-148
bert-cls_last_ro,318002.470703125,318.002470703125,0.725014540667394,8.254120111859559e-164
labse_best_de,168771.69506835938,168.77169506835938,0.31751604244112963,7.362761996559088e-25
labse_last_mixed,894194.9487304688,298.06498291015623,0.689602897374713,0.0
laser_last_mixed,962205.0394287109,320.73501314290365,0.6592256491137201,0.0
bert-mean_best_de,161412.65509033203,161.41265509033204,0.39924651188604277,1.4772038394394787e-39
distil_last_mixed,958262.6255493164,319.42087518310547,0.6609190833652261,0.0
bert-mean_last_ro,281073.8449707031,281.07384497070314,0.7644843435402267,1.65480843548747e-192
xlmr_best_ru,408702.1643066406,408.7021643066406,0.6431000288649034,8.519642560412412e-118
paraphrase_last_de,180922.69757080078,180.92269757080078,0.22356905650335726,8.568163070099278e-13
distil_best_ru,418251.53564453125,418.25153564453126,0.6397170803494433,3.392640276282736e-116
bert-cls_last_de,166165.18481445312,166.1651848144531,0.3544361858468169,5.713755849431418e-31
xlmr_best_mixed,946318.2142333984,315.4394047444662,0.6690470482306288,0.0
distil_best_ro,362789.83349609375,362.78983349609376,0.6725698573004675,1.2216956621730211e-132
static_last_de,202254.38507080078,202.2543850708008,0.07079480052435418,0.025172996396677687
xlmr_best_de,195517.81799316406,195.51781799316407,0.17063825244413794,5.661624659023515e-08
bert-cls_best_ro,326177.0107421875,326.1770107421875,0.7248018520477406,1.1419019173098141e-163
distil_best_mixed,968329.4505004883,322.7764835001628,0.6611663062579877,0.0
paraphrase_best_de,186304.7156982422,186.30471569824218,0.1933173156638473,7.10116873045804e-10
labse_best_ru,393850.02880859375,393.8500288085938,0.6585477306043277,2.2858327387975252e-125
bert-cls_best_ru,421509.13427734375,421.5091342773438,0.6297082630350126,1.4085053283044007e-111
static_last_ro,499430.9968261719,499.43099682617185,0.5010474893218582,1.131018481142498e-64
laser_last_de,177357.7064819336,177.3577064819336,0.23189703000567394,1.1234948258587296e-13
xlmr_last_de,191531.90618896484,191.53190618896485,0.18875918993821267,1.7902043293253713e-09
bert-mean_last_de,161417.54681396484,161.41754681396483,0.3991178557777437,1.5705709203056944e-39
bert-cls_best_mixed,913631.4743652344,304.5438247884115,0.6847596971188357,0.0
