,total_loss,avg_loss,correlation,p
labse_best_et,1002517.61328125,1002.51761328125,0.42299514249252335,1.1246581224688354e-44
laser_last_zh,508194.73779296875,508.19473779296874,0.16029366597917866,3.476862576768058e-07
distil_last_zh,615971.1455078125,615.9711455078125,0.1089553513909669,0.0005576012033078315
distil_best_zh,610560.8149414062,610.5608149414063,0.1079015577776079,0.000631150132276608
bert-mean_last_et,937098.4111328125,937.0984111328125,0.3062340170955492,3.73141872019562e-23
xlmr_best_zh,502304.5528564453,502.3045528564453,0.07444370197613374,0.018550649445199067
labse_last_et,1013509.923828125,1013.509923828125,0.388876960477106,1.894403011939286e-37
xlmr_last_zh,612788.5473632812,612.7885473632813,0.09672726705175064,0.0021975932463139418
paraphrase_best_zh,573540.2048339844,573.5402048339844,0.16720970522597794,1.046216975791445e-07
bert-cls_last_et,977266.41796875,977.26641796875,0.41734052617772766,2.0293631790898115e-43
paraphrase_last_et,895846.67578125,895.84667578125,0.45339033463970735,7.479264306821626e-52
xlmr_best_et,810088.6518554688,810.0886518554687,0.4208556089385035,3.3822178048932466e-44
labse_last_zh,312316.10876464844,312.31610876464845,0.13174769271873915,2.924764849189066e-05
distil_best_et,915035.158203125,915.035158203125,0.4077560311225701,2.413837795754986e-41
paraphrase_best_et,923260.158203125,923.260158203125,0.4519649143661961,1.6864125644315627e-51
laser_best_et,783588.9399414062,783.5889399414062,0.43111720636621387,1.599894887166084e-46
bert-cls_best_et,883722.7861328125,883.7227861328125,0.4892116558302919,2.684755803666361e-61
bert-mean_last_zh,442477.01025390625,442.47701025390626,0.10236798938337843,0.0011884799659675378
laser_last_et,769474.8369140625,769.4748369140625,0.4330059560355934,5.852341960098216e-47
bert-mean_best_zh,360724.15979003906,360.72415979003904,0.20673196376326258,4.092394913285507e-11
paraphrase_last_zh,570706.58203125,570.70658203125,0.1616737018009794,2.7469825479987556e-07
bert-mean_best_et,927637.560546875,927.637560546875,0.43879090133011617,2.5839043591412666e-48
bert-cls_last_zh,393341.0166015625,393.3410166015625,0.16179653824073503,2.689709659018454e-07
laser_best_zh,507941.9436035156,507.9419436035156,0.1611338142402679,3.0129539879553955e-07
bert-cls_best_zh,378040.66064453125,378.0406606445313,0.17527935012206208,2.417203952598085e-08
xlmr_last_et,820634.04296875,820.63404296875,0.4270751635092858,1.3475359205513091e-45
labse_best_zh,266896.9797973633,266.89697979736326,0.1679420032341831,9.185767513704666e-08
distil_last_et,879586.2041015625,879.5862041015625,0.39835229163847424,2.2604744757694935e-39
