,total_loss,avg_loss,correlation,p
xlmr_best_de,200556.4757080078,200.5564757080078,0.15115495261737122,1.5742279609178867e-06
bert-cls_best_de,166914.1156616211,166.91411566162108,0.38434221174394606,1.4993885839248717e-36
labse_last_de,179011.00134277344,179.01100134277343,0.25546621910502293,2.3064830832386436e-16
paraphrase_last_ru,467007.4658203125,467.0074658203125,0.5886869641798919,2.6409406907744817e-94
paraphrase_last_ro,353130.9736328125,353.1309736328125,0.6878974599322181,4.6163444248659385e-141
bert-cls_last_ro,328060.5378417969,328.0605378417969,0.7234646296263942,8.726345737889731e-163
bert-mean_last_ro,327772.07177734375,327.77207177734374,0.7241195968929415,3.2277094844900036e-163
static_last_ro,546323.7861328125,546.3237861328125,0.48215782397903384,2.390548888243215e-59
paraphrase_best_ro,345017.4631347656,345.01746313476565,0.6920185903661433,2.039687755862442e-143
xlmr_last_mixed,1003225.0354003906,334.40834513346357,0.6527547640461615,0.0
bert-cls_last_ru,420900.8835449219,420.9008835449219,0.6292015335228399,2.3882130516399273e-111
paraphrase_last_de,191976.92962646484,191.97692962646485,0.21329116704199558,9.426857667197248e-12
laser_best_mixed,955256.8792724609,318.41895975748696,0.6651556956447393,0.0
static_best_mixed,1272774.9483032227,424.25831610107423,0.5158431426911508,1.1103446483505048e-203
bert-mean_best_de,163303.51959228516,163.30351959228517,0.40940528801725595,1.072461659968487e-41
distil_last_mixed,1015368.6549072266,338.45621830240884,0.6439755225007392,0.0
xlmr_last_ro,357257.3190917969,357.2573190917969,0.6857376502439567,7.633220808404735e-140
laser_last_ro,400276.28186035156,400.27628186035156,0.6453817398703601,6.913520699067017e-119
bert-cls_best_mixed,884970.6806640625,294.99022688802086,0.6926689577787709,0.0
bert-cls_last_mixed,928717.2648925781,309.57242163085937,0.6796709219233339,0.0
xlmr_best_ru,417892.8024902344,417.8928024902344,0.6348967750586716,5.970617316576542e-114
static_last_ru,647521.53515625,647.52153515625,0.38948885035677194,1.4294196832868235e-37
distil_best_ro,353460.0749511719,353.46007495117186,0.6812559512406333,2.384182464368865e-137
bert-mean_last_mixed,938763.7641601562,312.9212547200521,0.6798809371686478,0.0
distil_last_de,183610.54235839844,183.61054235839845,0.22638101829024196,4.3535474373037513e-13
laser_best_ru,399396.04443359375,399.3960444335938,0.6522605513195316,3.12014976561683e-122
laser_best_ro,377566.99279785156,377.5669927978516,0.6612591850241472,9.627063421824798e-127
labse_best_ru,379520.2019042969,379.52020190429687,0.6714362668130405,4.894937395772609e-132
xlmr_best_mixed,971409.4606933594,323.8031535644531,0.6607966006888499,0.0
bert-cls_last_de,179755.80181884766,179.75580181884766,0.2245829539652308,6.719218070968156e-13
distil_last_ru,454198.2607421875,454.1982607421875,0.6035385013550649,2.8690030207033516e-100
labse_last_mixed,958452.0440673828,319.4840146891276,0.6702293391782548,0.0
xlmr_best_ro,352960.1875,352.9601875,0.6871880496945741,1.1632494603196113e-140
labse_best_ro,329974.6037597656,329.9746037597656,0.7212593643398146,2.4323684588901355e-161
labse_best_de,173075.17907714844,173.07517907714845,0.2773470988494242,4.0576797988209904e-19
bert-cls_best_ro,293301.87109375,293.30187109375,0.745594550907548,4.1384776200534566e-178
paraphrase_best_de,184857.37731933594,184.85737731933594,0.1948619140608395,5.164327996550635e-10
paraphrase_last_mixed,1012115.4029541016,337.37180098470054,0.6460909821514111,0.0
laser_last_mixed,1001262.4297485352,333.75414324951174,0.6503675447521591,0.0
labse_last_ro,381045.1975097656,381.0451975097656,0.6670031991008298,1.0506756007906928e-129
paraphrase_best_mixed,947731.5718383789,315.9105239461263,0.6644933513321719,0.0
bert-mean_best_ro,265395.3073730469,265.3953073730469,0.7770503730536764,7.359870565143409e-203
bert-mean_last_de,173522.20568847656,173.52220568847656,0.2911502955191466,5.4642384253631286e-21
distil_best_mixed,937048.3950805664,312.34946502685546,0.6685845101088215,0.0
laser_best_de,178292.37329101562,178.29237329101562,0.22443342341511038,6.964986244138835e-13
static_best_ru,562187.3442382812,562.1873442382813,0.4473356706261889,2.3026770112546164e-50
static_last_mixed,1400711.330871582,466.903776957194,0.48184734561327724,3.066413369125965e-174
xlmr_last_de,192003.39587402344,192.00339587402343,0.20685527448132046,3.9827537645043345e-11
bert-mean_best_ru,398783.3798828125,398.7833798828125,0.6490291742296381,1.1928506850915735e-120
bert-mean_last_ru,435016.4443359375,435.0164443359375,0.6240215738337004,4.98876712456755e-109
paraphrase_best_ru,417856.7373046875,417.8567373046875,0.6269694193927831,2.416244930843876e-110
static_best_ro,502259.14599609375,502.25914599609376,0.5031851220036936,2.6889970334849303e-65
bert-cls_best_ru,424754.65234375,424.75465234375,0.6205863931308706,1.6312970173028708e-107
bert-mean_best_mixed,826812.2038574219,275.60406795247394,0.7182076887776816,0.0
static_last_de,206866.0125732422,206.8660125732422,0.09680281489418664,0.002180015651515384
labse_last_ru,398395.86083984375,398.39586083984375,0.6591117824269643,1.1859729172259042e-125
laser_last_de,179556.88555908203,179.55688555908202,0.20856485498394356,2.7284177381180296e-11
distil_best_ru,401843.0485839844,401.8430485839844,0.6465176789954026,1.9642507553062962e-119
