,total_loss,avg_loss,correlation,p
labse_last_et,969818.517578125,969.818517578125,0.4380280897304113,3.912555537652485e-48
paraphrase_best_et,968676.4658203125,968.6764658203125,0.45639370720715416,1.3315650002949859e-52
laser_last_zh,476747.349609375,476.747349609375,0.13316601636237124,2.3932222231913214e-05
distil_last_zh,610811.0747070312,610.8110747070313,0.1322504744000792,2.7246634885112032e-05
bert-cls_best_zh,342884.71813964844,342.88471813964844,0.11480564531211315,0.0002747982028819042
distil_best_et,873702.5771484375,873.7025771484375,0.43224736283982274,8.771666393751411e-47
xlmr_last_et,865248.7270507812,865.2487270507812,0.4090922100318491,1.2514565194915023e-41
bert-cls_last_et,949798.6328125,949.7986328125,0.46843666111655025,1.1035528056324014e-55
bert-cls_last_zh,374599.68896484375,374.5996889648437,0.1131117928038456,0.0003384462738274717
paraphrase_best_zh,598030.0751953125,598.0300751953125,0.1309433973502477,3.274133365721941e-05
distil_last_et,850268.9580078125,850.2689580078124,0.4356166628600155,1.442283556883136e-47
bert-mean_best_zh,306766.7556152344,306.7667556152344,0.2018109998865604,1.1930200573075527e-10
bert-mean_last_et,897964.4111328125,897.9644111328125,0.3905080860144487,8.929907634976584e-38
laser_best_et,814640.783203125,814.640783203125,0.421033470991656,3.0873161620147346e-44
labse_best_et,848817.9443359375,848.8179443359375,0.4558195111377942,1.8545267567890124e-52
laser_last_et,863134.76171875,863.13476171875,0.39581220910036163,7.51518321624408e-39
labse_last_zh,341272.544921875,341.272544921875,0.07317326839871884,0.020659461652018603
bert-mean_best_et,971353.650390625,971.353650390625,0.4765870738682699,7.696757436632809e-58
bert-mean_last_zh,439431.93896484375,439.43193896484377,0.14700896905035737,3.035495337239596e-06
labse_best_zh,259750.9285888672,259.75092858886717,0.09465913925030438,0.0027321358128243652
distil_best_zh,596772.6547851562,596.7726547851563,0.052428578052487254,0.09751881181775485
paraphrase_last_zh,613680.3386230469,613.6803386230469,0.13839699100901764,1.1222206738477795e-05
paraphrase_last_et,942893.119140625,942.893119140625,0.4594711719973218,2.231394875453597e-53
laser_best_zh,431048.3596191406,431.0483596191406,0.14841928136289725,2.4327163860569434e-06
xlmr_best_zh,513220.5754394531,513.2205754394531,0.14445428634698804,4.509375085609591e-06
xlmr_last_zh,589262.5551757812,589.2625551757812,0.12423560188936844,8.181152717499575e-05
xlmr_best_et,791168.203125,791.168203125,0.4430933459214247,2.4397738172405825e-49
bert-cls_best_et,993613.1220703125,993.6131220703126,0.4813911085226775,3.869690218045523e-59
