,total_loss,avg_loss,correlation,p
labse_best_de,181094.8603515625,181.0948603515625,0.2384814256403018,2.1296823084685148e-14
bert-mean_last_ro,320071.1750488281,320.07117504882814,0.739865476257135,5.418426971037512e-174
distil_last_ro,404640.37365722656,404.6403736572266,0.632747975735006,5.810051599179414e-113
paraphrase_best_de,197570.10998535156,197.57010998535156,0.17377386723517402,3.193777328792058e-08
distil_best_ru,414552.07958984375,414.55207958984374,0.6326898518877622,6.177327249231542e-113
distil_last_de,192527.80078125,192.52780078125,0.1926287927577799,8.17749720686683e-10
static_best_ru,608085.064453125,608.085064453125,0.4254941900931879,3.076861541544806e-45
static_last_de,197195.63494873047,197.19563494873046,0.10510380421333615,0.0008723958673689176
bert-mean_last_mixed,892768.5750732422,297.58952502441406,0.697550640450803,0.0
bert-cls_best_ru,407789.2844238281,407.7892844238281,0.641770317805455,3.645676639467857e-117
bert-mean_last_de,170769.94018554688,170.7699401855469,0.34517797358094826,2.331738151866462e-29
bert-mean_best_ro,346192.052734375,346.192052734375,0.7571267198768021,9.638344788238562e-187
xlmr_best_ru,483822.0087890625,483.8220087890625,0.5780719176916567,3.1526040602292343e-90
xlmr_best_ro,380209.16845703125,380.20916845703124,0.6729439261529699,7.717241417554005e-133
laser_last_ro,367077.9189453125,367.0779189453125,0.676334862042822,1.1627446987735307e-134
paraphrase_last_de,199015.27716064453,199.01527716064453,0.20901621544880522,2.4677619162322984e-11
labse_last_ru,405902.1669921875,405.9021669921875,0.6464708438076086,2.0690718437595864e-119
paraphrase_best_ru,431874.431640625,431.874431640625,0.6189157074071067,8.756593626741862e-107
distil_best_de,190623.08227539062,190.62308227539063,0.18001109787637315,9.9125551790901e-09
labse_last_de,183244.34130859375,183.24434130859376,0.25532432272644995,2.398765949169261e-16
static_best_ro,549224.2709960938,549.2242709960938,0.4876024888982514,7.545338438527797e-61
xlmr_last_ro,366282.1962890625,366.2821962890625,0.6724653698130736,1.3887898417172676e-132
static_best_de,207855.65991210938,207.8556599121094,0.08229556284002279,0.00922566393442964
distil_best_mixed,965797.524230957,321.9325080769857,0.6570704531643471,0.0
distil_last_ru,435239.7333984375,435.2397333984375,0.6135978880960756,1.7228012642499014e-104
paraphrase_last_ro,345201.17614746094,345.20117614746096,0.6964167576030653,5.653286246368489e-146
labse_last_mixed,969954.8323364258,323.31827744547525,0.6649600487718155,0.0
labse_best_ro,367241.01232910156,367.2410123291016,0.6825797529940498,4.4172077740457525e-138
laser_last_ru,396964.994140625,396.964994140625,0.6516568874245648,6.183920958278401e-122
static_last_ro,551398.0031738281,551.3980031738281,0.4701079492416859,4.030225666770707e-56
bert-cls_last_mixed,891545.3981933594,297.18179939778645,0.6964463551875106,0.0
static_last_ru,625464.8369140625,625.4648369140625,0.39847035944381026,2.1371620966840485e-39
paraphrase_best_mixed,960908.4118652344,320.3028039550781,0.6657501355752096,0.0
bert-cls_last_de,172365.84545898438,172.36584545898438,0.3163690821773376,1.10595221424643e-24
static_best_mixed,1365164.9951782227,455.0549983927409,0.5036904892616463,9.006667844978163e-193
bert-cls_best_ro,308696.8017578125,308.6968017578125,0.745697375652706,3.482876517784368e-178
bert-mean_best_ru,408608.1669921875,408.6081669921875,0.6600159307784377,4.1303955430145726e-126
labse_best_ru,412437.96826171875,412.43796826171877,0.6443046999546341,2.268386022434888e-118
bert-cls_best_mixed,892016.1047973633,297.33870159912107,0.697738318539666,0.0
paraphrase_best_ro,331463.84765625,331.46384765625,0.7092455449568367,1.0474366739468779e-153
xlmr_last_de,219141.42443847656,219.14142443847658,0.14226370354747947,6.2978412577546955e-06
labse_best_mixed,960773.8214111328,320.2579404703776,0.668242673478531,0.0
xlmr_last_ru,436178.2646484375,436.1782646484375,0.6114732604485266,1.3820662608307135e-103
bert-mean_last_ru,402964.95458984375,402.9649545898437,0.6454451759554451,6.445275652448287e-119
laser_last_mixed,950984.7020263672,316.9949006754557,0.6692129062364416,0.0
bert-mean_best_de,166756.78967285156,166.75678967285157,0.3843219007379729,1.5132358646778383e-36
laser_best_mixed,950636.4045410156,316.8788015136719,0.6697176920343395,0.0
xlmr_best_mixed,1105959.218322754,368.6530727742513,0.6310109947246857,0.0
laser_last_de,186940.83044433594,186.94083044433594,0.20117078966971558,1.3684940898584545e-10
bert-cls_best_de,175529.97619628906,175.52997619628906,0.3162384375712128,1.158281345109227e-24
xlmr_last_mixed,1021601.8792724609,340.53395975748697,0.6394396497526493,0.0
