,original,translation
615,"El analizează câteva zeci de astfel de perechi, scriind pentru fiecare termen câte o micromonografie.","It shall analyse several tens of such pairs, writing a micro-monograph for each time period."
6120,"In față merge grăitorul, urmat de mire și nași, apoi muzicanții și tot alaiul de săteni.","The gardener goes in front of him, followed by thousands and births, then musicians and still sick."
825,Comuna Cașin este administrată de un primar și un consiliu local compus din 13 consilieri.,The municipality of Cashin is managed by a mayor and a local council composed of 13 advisers.
3111,"Aleksandr Butlerov a fost unul dintre creatorii teoriei structurii chimice, joacă un rol central în chimia organică.","Aleksandr Butlerov was one of the theory builders of the chemical structure, plays a central role in organic chemistry."
5929,"Parisul nu avea primari, fiind condus de două autorități, în 1860 fiind înglobate multe dintre comunele suburbane în 20 de arondismente.","The parcel was not primary, being led by two authorities, with many suburban municipalities in 20 arondises embedded in 1860."
5653,"În comparație cu Europa de Vest, Slovenia nu este foarte vântoasă, deoarece este protejată de Alpi.","Compared to Western Europe, Slovenia is not very winner because it is protected from the Alps."
110,"Majoritatea luteranilor participă însă la biserică doar cu ocazii speciale, cum ar fi slujba de Crăciun, nunți și înmormântări.","However, the majority of the cervians participate in the church only on special occasions, such as Christmas mass, births and starvation."
3292,"Tot aceste divizii urmau să deplaseze efective înarmate în insulele provinciei, care trebuiau aprovizionate cu vapoarele.","These divisions were also going to actually travel armed to the islands of the province, which had to be supplied by ships."
256,Un al doilea batalion a lărgit spărtura în frontul olandez în nord.,A second battalion widened the shooting on the Dutch front in the north.
311,Mircea a intrat în conflict cu Imperiul Otoman din cauza intervențiilor sale în sprijinul popoarelor creștine din sudul Dunării.,Mircea has come into conflict with the Ottoman Empire because of its interventions in support of the Christian peoples of the southern Danube.
810,Menora trebuia așezată în Sanctuar și se poate presupune că în Templu era un candelabru asemănător.,It was supposed to be placed in the sanction and it can be assumed that it was a similar candelabre in Temple.
4082,"În Africa, grupuri de elefanți adolescenți au deteriorat casele din sate după sacrificări în anii 1970 și 1980.","In Africa, groups of adolescent elephants damaged homes in villages after sacrifices in the 1970s and 1980."
316,Familiile care încalcă politica adesea mint la recensăminte.,Families who violate politics often lie at censuses.
6152,"Până la sfârșitul lunii mai, Olanda și Luxemburgul fuseseră cucerite de germani.","By the end of May, the Netherlands and Luxembourg had been bound by the Germans."
802,Alexandru I a condus delegația Rusiei la Congresul de la Viena care a definit harta Europei postnapoleoniene.,Alexander I led the Russian delegation to the Vienna Congress which defined the map of post-napoleonic Europe.
698,"Pe plan extern, se face lobby la organizații evreiești de exemplu pentru a susține relațiile cu Israelul.","externally, it lobbies Jewish organisations for example to uphold relations with Israel."
495,"Condițiile ambientale, cum ar fi lumina, temperatura încăperii sau muzica, fac parte, de asemenea, din mediul de vânzări.","Ambient conditions, such as light, room temperature or music, are also part of the sales environment."
6014,Sârbii au avut însă o atitudine diferită de guvernul de la Belgrad.,"However, the wire ropes took a different stance from the government in Belgrade."
5699,Misiunile lor se desfășurau la altitudini de peste 10.000 m și de cele mai multe ori zborul lor rămânea nedetectat.,Their missions were deployed at altitudes above 10 000 m and most often their flight remained undetected.
1318,"T4 a fost în principal orientat căre adulți, dar au fost „eutanasiați” și copii.","This is because, as a result of the adoption of the second half of 2016, the first half of 2016 will be large."
5085,Mai degrabă sunt considerați „eroi” câțiva „hâtri ai satului” care au marcat,"This is because, as a result of the adoption of two or more types of measures, we have adopted one or more of the following:"
3484,"thumbright, clădire terminată în 1802, este sediul , al și al .","thumbright, building terminated in 1802, is its headquarters, al and al."
4068,Se spune că există câte un fel de pentru fiecare zi a anului.,They say there are one kind of every day of the year.
6761,Terenul era de multe ori muntos care nu era adecvat pentru cavalerie.,The land was often mountainous and not suitable for the cavity.
2339,"Italia a suferit pierderi grele în luptele cu triburile locale, pentru asigurarea controlului ferm asurpra noii posesiuni.",Italy has suffered heavy losses in fighting against local tribes to ensure firm control of the new possession.
4374,Pol III a trimis imediat un semnal de alarmă către bateriile artileriei de coastă de pe Insula Rauøy.,Pol III immediately sent an alarm to the coastal artillery batteries on Rauøy Island.
4305,"Există organisme de reglementare la nivelul întregului Regat, cum ar fi , , precum și unele neguvernamentale, cum ar fi .","There are regulators throughout the King, such as some non-governmental bodies, such as the King."
5433,CIvilizațiile alcătuite astfel au stagnat și au decăzut.,The CIvilisations thus formed stagnated and dared.
4543,"Ephialtes inițiază reforme radicale, marcând sfârșitul colaborării dintre cele două cetăți.","Ephialtes is initiating radical reforms, marking the end of collaboration between the two stop."
716,"După moartea acestuia, a urmat începutul unui declin lent.","After its death, it followed the beginning of a slow decline."
1281,În acest an populația orașului a fost evaluată la aproximativ 80.000 de locuitori.,This year the city's population has been valued at around 80.000 inhabitants.
2476,Aliații au înregistrat un succes parțial la Narvik.,Aliases have been a partial success in Narvik.
479,Ginere al primului preot din Plevna și frate al marelui interpret de operă,Instruction of the first priest in Plevna and brother of the large interpreter of the work
2915,"Deasupra, între patru amorași, sunt două statui ținând câte o tavă în mână, simbolizând donatorii.","Above, between four primers, there are two statues holding a tray in their hands, symbolising donors."
5614,"A fost lansată inițiativa americană Planul Marshall, prin care Marea Britanie a primit mărfuri în valoare de 2,35 de miliarde $.","The US initiative has been launched the Marshall Plan, whereby Britain has received cargo to the value of 2.35 billion $."
3370,"Se cântă corinda caprei, apoi aceasta este invitată să intre înăuntru.",Song the corner and then be invited to enter the corner.
2373,O lege de anexare a Texasului a fost adoptată de Congres în februarie și promulgată de Tyler la 1 martie.,A law enclosing the Texaset was adopted by Congress in February and promulgated by Tyler on 1 March.
1716,"La data de 1 octombrie 1949, președintele Partidului Comunist Mao Zedong a proclamat crearea Republicii Populare Chineze.","On 1 October 1949, the Chairman of the Mao Zedong Communist Party proclaimed the creation of the People's Republic of China."
5453,"Poeții își publică cărțile în tiraje restrânse, beneficiind de cronici critice aleatorii, datorită insuficienței unei difuzări corecte.","Posts publish their books in restricted typescripts, benefiting from a critical random chrome, due to the lack of proper broadcasting."
6184,"Drept represalii, Austria, care era susținută de Germania, pe 23 iulie, adresează un ultimatum Serbiei.","In retaliation, Austria, which was supported by Germany on 23 July, addressed an ultimatum to Serbia."
5530,Unitățile Fallschirmjäger au folosit dispozitive explozive și aruncătoare de flăcări pentru anihilarea apărării.,Fallschirmjäger units have used explosive devices and flame throwers for defence anniversary.
3831,"În relațiile externe, domnul reprezenta țara față de suveranii străini.","In external relations, Mr represented the country vis-à-vis foreign governments."
5784,Aceștia erau datori domnitorului cu serviciul militar și erau puși în dregătorii.,They were indebtedness to the domer of military service and were laid in the dregers.
2441,Ordinea de bătaie a RAF includea; nouă Hurricane a escadrilei No.,The order of beating the RAF included; nine Hurricane of escadrilei No
1674,"În dimineața unei zile de august, în 1917, la ora cinci, Kafka începe să tușească cu sânge, din cauza unei hemoragii a plămânilor.","On the morning of August, in 1917, Kafka began to talk with blood because of a haemorrhage of the lungs."
3001,"Începând din 2014, țara negociază aderarea la UE cu perspectiva aderării la Uniunea Europeană până în 2025.","From 2014, the country is negotiating accession to the EU with a view to accession to the European Union by 2025."
713,"Florile sunt cu 4 sepale și 4 petale libere așezate față în față în formă de cruce, de unde și denumirea veche a familiei.","The flowers are 4 sepals and 4 free petals facing each other in cross shape, hence also the old family name."
2218,"împroprietăriri3), drept pentru care, până în ziua de azi, multe",or [- animal by-products and animal by-products not intended for human consumption;]
5215,Francezii au fost invitați să asigure apărarea acestei breșe.,The French have been invited to defend this breach.
0,"După doar 200 de metri, ajungem la Foișorul Bătrânei, acoperit cu brădet tânăr și rărit, de unde se poate admira priveliștea.","Only 200 metres later, we arrive at the Former Bandy, covered with young rind, from where to admit the cloak."
6209,a fost oprită la frontiera antebelică a Estoniei de Grupul de Armate Nord german sprijinit de în speranța de .,Estonia's antesian border was stopped by the German Northern Armed Group supported in hope.
1379,thumbleft250pxÎn Europa au fost înființate [[ghetouri în care evreii au fost închiși înainte de a fi trimiși în lagăre de concentrare.,Thumbleft250pxIn Europe was established ((ghettos where Jews were imprisoned before being sent to concentration camps).
3626,Este considerat a fi un important dispersator de semințe.,It is considered to be an important seed disperder.
4488,La câteva zile după încheierea acelei ediții a Turului Franței au apărut primele benzi magnetice cu imagini din competiție.,"A few days after the end of that Turkish Turkish edition, the first image magnetic tapes in the competition appeared."
3768,"În Cartagina ei făceau schimburi de mărfuri cu localnici africani, cumpărând fildeș prețios, piei de animale și lemn.","In Carthage, she exchanged commodities with African locals, buying valuable ivory, animal skins and wood."
3692,"Tema grupului muzical este ""Anonim"" pe măsura ce interpretează cu chipuri pictate, hoodies și ochelari de soare.","The theme of the music group is ""Anonymous"" as spotted, hoodies and sun spectacles appear."
1616,Guvernul Bulgar a semnat un armistițiu cu Aliații la Moscova pe 28 octombrie 1944.,The Bulgarian Government signed an armistitium with the Alliance of Moscow on 28 October 1944.
1651,"Kafka îi arată abia în 1905 lui Max Brod noua sa povestire, iar acesta se arată încântat, crezând că descifrează în ea sămânța geniului.","It is only in 1905 that Kafka is showing Max Brod his new story, and he is showing great pleasure in believing that he is destroying gender seed in her."
973,"Ancheta a fost mușamalizată, pentru a nu periclita susținerea militară a Irakului de către SUA.",The investigation was skirted so as not to jeopardise the US's military support to Iraq.
6077,"Se introduce votul universal, Finlanda fiind prima țară din Europa în care au votat femeile.","The universal vote is being introduced, as Finland is the first country in Europe to which women have voted."
4078,Ea are ca aliat Rezistența condusă de Generalul Leia Organa.,It is allied with General Leia Organa.
2041,[[Smântână_Smântâna]] se adaugă de multe ori la supe și salate.,Cream _ Cream is often added to soups and salads.
5760,Cronicile serveau ca material de propagandă în secolul XV.,Cronicles used as material for propaganda in the 15th century.
1808,Trei dintre marile limbi ale Europei sunt oficiale în Elveția.,Three of Europe's big languages are official in Switzerland.
5775,Criză raționalismului ia amploare și popularitatea absurdului crește.,Crisis of rationalism is increasing and nonsense popularity is increasing.
6336,"Gâscan și o altă expoziție, de cărti și publicații despre satul Dobridor, despre oamenii","Turbot and other exhibition, book, and publications about the village of Dobridor, about the people."
3874,"În 272 î.Hr., Tarentul a capitulat și este jefuit, romanii cunoscând vesela de lux a grecilor și sculpturile lor magistrale, i se","In 272 Hr., the Tarent capitulated and is jetted, the Romans knowing the luxury tableware of the Greeks and their thoroughfare carvings, are given"
3217,Aproape fiecare proprietar de pământ scoțian care a avut bani puși deoparte a investit în .,Nearly every Scottish land owner who had money set aside invested in it.
292,"Departamentul de stat are o structura piramidală, fiind o birocrație clasică.","The state department has a pyramid structure, being a classic bureaucracy."
2938,"Venitul total al turismului pentru 2011 a fost estimat la 6,61 miliarde euro.",The total tourism revenue for 2011 was estimated at EUR 6.61 billion.
